Component ID,Component Name,Parent Component ID,Quantity,Level (Hierarchy Level),Assembly Type,Criticality Level (High/Medium/Low),Supplier ID,Lead Time (Weeks)
COMP0107,LED-1964,COMP0417,60,3,Raw Part,High,SUPP077,1
COMP0142,Transistor-7930,COMP0075,34,4,Raw Part,Low,SUPP015,43
COMP0444,LED-5632,ROOT,4,1,Raw Part,Low,SUPP076,21
COMP0009,Diode-9279,COMP0027,33,2,PCB Assembly,Medium,SUPP096,5
COMP0244,Sensor-6067,COMP0186,132,3,Raw Part,Medium,SUPP029,40
COMP0023,Resistor-8527,COMP0466,169,3,Raw Part,Medium,SUPP004,4
COMP0246,Microcontroller-7592,COMP0219,176,4,Sub-assembly,Low,SUPP057,5
COMP0461,MOSFET-1653,COMP0312,38,2,Sub-assembly,Medium,SUPP082,38
COMP0281,Capacitor-8478,COMP0196,153,3,Raw Part,Medium,SUPP078,28
COMP0051,IC-8517,COMP0059,168,4,PCB Assembly,Low,SUPP093,14
COMP0221,IC-6378,COMP0117,106,3,Raw Part,Medium,SUPP054,47
COMP0049,MOSFET-6155,COMP0161,171,2,Sub-assembly,Low,SUPP088,31
COMP0035,Inductor-7065,COMP0044,24,2,Raw Part,Low,SUPP048,52
COMP0067,Sensor-1188,COMP0301,144,3,Raw Part,Medium,SUPP053,23
COMP0448,IC-2880,COMP0385,109,3,Module,Low,SUPP037,39
COMP0160,IC-9565,COMP0296,130,3,Sub-assembly,Medium,SUPP029,7
COMP0180,Inductor-5333,COMP0189,30,4,PCB Assembly,Medium,SUPP055,36
COMP0499,Sensor-7684,COMP0319,158,4,PCB Assembly,Medium,SUPP078,43
COMP0425,Inductor-3444,COMP0015,47,3,Sub-assembly,Low,SUPP044,23
COMP0004,Inductor-2679,COMP0074,145,2,PCB Assembly,High,SUPP095,41
COMP0498,Transistor-1224,ROOT,192,1,Raw Part,Medium,SUPP059,22
COMP0081,Inductor-9837,COMP0370,84,3,PCB Assembly,Medium,SUPP011,4
COMP0080,Inductor-7126,COMP0317,13,2,PCB Assembly,Medium,SUPP085,28
COMP0249,Diode-7888,COMP0213,70,3,Sub-assembly,Medium,SUPP045,28
COMP0057,Microcontroller-4593,COMP0348,152,2,Raw Part,Medium,SUPP006,15
COMP0203,Microcontroller-4441,COMP0029,2,4,Sub-assembly,Low,SUPP099,9
COMP0392,Connector-9698,COMP0168,31,2,Sub-assembly,Low,SUPP023,9
COMP0195,Sensor-1158,COMP0118,129,3,Raw Part,Medium,SUPP046,5
COMP0204,Crystal-5088,COMP0022,112,4,Sub-assembly,Low,SUPP041,37
COMP0220,Resistor-4164,COMP0364,164,3,Raw Part,High,SUPP003,21
COMP0088,MOSFET-2290,COMP0317,118,4,PCB Assembly,Low,SUPP012,28
COMP0433,Transistor-1986,COMP0224,151,2,Raw Part,High,SUPP040,48
COMP0174,Transistor-3584,COMP0399,44,2,Sub-assembly,Medium,SUPP068,33
COMP0100,Connector-9479,COMP0179,90,4,PCB Assembly,Low,SUPP019,16
COMP0053,Inductor-5040,COMP0102,45,2,Raw Part,Low,SUPP084,5
COMP0091,Inductor-3103,COMP0322,127,4,Raw Part,Medium,SUPP075,29
COMP0349,Transistor-7149,COMP0290,165,4,Raw Part,Medium,SUPP081,21
COMP0078,Crystal-9317,COMP0241,114,3,Raw Part,Low,SUPP076,4
COMP0181,Capacitor-2753,COMP0159,119,3,Raw Part,High,SUPP037,5
COMP0331,Transistor-7906,COMP0438,24,4,Raw Part,Medium,SUPP060,38
COMP0284,Sensor-6198,COMP0379,11,4,Raw Part,Low,SUPP084,13
COMP0165,Crystal-5915,COMP0257,39,3,Cable Assembly,Medium,SUPP044,46
COMP0044,Crystal-6313,COMP0089,11,3,Sub-assembly,Medium,SUPP057,34
COMP0268,Resistor-5011,COMP0187,96,3,Module,Medium,SUPP100,22
COMP0348,Capacitor-1420,COMP0405,162,3,Raw Part,High,SUPP013,36
COMP0348,Capacitor-1420,COMP0130,186,3,Module,Low,SUPP078,10
COMP0171,Transistor-3170,COMP0340,37,2,Module,Medium,SUPP084,45
COMP0340,MOSFET-3496,COMP0305,182,3,Module,Medium,SUPP049,42
COMP0406,Capacitor-4180,COMP0066,172,2,PCB Assembly,Low,SUPP088,34
COMP0048,Capacitor-4456,COMP0217,131,3,Raw Part,Medium,SUPP024,14
COMP0175,Connector-9900,COMP0249,50,4,Sub-assembly,High,SUPP010,19
COMP0433,Transistor-1986,COMP0260,198,4,Raw Part,Low,SUPP068,3
COMP0339,Diode-1333,COMP0393,159,3,Sub-assembly,Medium,SUPP021,12
COMP0426,MOSFET-5978,COMP0320,43,3,PCB Assembly,High,SUPP047,44
COMP0369,IC-5397,COMP0228,157,2,Sub-assembly,Low,SUPP058,15
COMP0274,Diode-3417,COMP0495,121,2,Module,High,SUPP087,37
COMP0226,Microcontroller-1452,COMP0145,200,3,Raw Part,Medium,SUPP021,13
COMP0411,Inductor-5494,COMP0447,65,3,Sub-assembly,Medium,SUPP048,36
COMP0479,Transistor-7561,COMP0434,133,2,Module,Medium,SUPP098,11
COMP0140,Resistor-7396,COMP0263,38,3,PCB Assembly,High,SUPP029,29
COMP0453,Inductor-6039,COMP0014,107,3,Sub-assembly,Medium,SUPP031,25
COMP0042,IC-5422,COMP0015,82,3,Module,Low,SUPP084,22
COMP0406,Capacitor-4180,COMP0020,74,2,Module,Medium,SUPP018,49
COMP0362,Crystal-8532,COMP0316,2,3,Module,High,SUPP028,10
COMP0281,Capacitor-8478,COMP0312,136,4,Raw Part,Low,SUPP031,20
COMP0063,MOSFET-2040,ROOT,108,1,Raw Part,Medium,SUPP009,8
COMP0429,MOSFET-4697,COMP0306,138,4,Sub-assembly,Medium,SUPP031,46
COMP0074,LED-5315,COMP0001,158,2,Raw Part,Medium,SUPP024,43
COMP0343,MOSFET-4571,COMP0500,93,2,Sub-assembly,Medium,SUPP065,51
COMP0260,LED-3780,COMP0200,121,3,Sub-assembly,Medium,SUPP048,17
COMP0383,LED-7658,ROOT,18,1,Raw Part,Low,SUPP081,7
COMP0396,Transistor-6023,COMP0388,86,3,Sub-assembly,Medium,SUPP044,42
COMP0090,Capacitor-9727,COMP0351,119,4,Cable Assembly,Medium,SUPP024,52
COMP0070,Transistor-6573,ROOT,199,1,Module,High,SUPP026,3
COMP0406,Capacitor-4180,COMP0022,81,2,Module,Medium,SUPP070,31
COMP0130,Connector-5092,ROOT,166,1,Sub-assembly,Medium,SUPP100,4
COMP0444,LED-5632,COMP0140,32,3,PCB Assembly,Medium,SUPP052,48
COMP0226,Microcontroller-1452,COMP0198,87,4,Cable Assembly,Medium,SUPP064,24
COMP0474,Microcontroller-7690,COMP0137,22,4,PCB Assembly,High,SUPP078,12
COMP0280,Sensor-5082,COMP0053,21,2,Raw Part,Medium,SUPP058,39
COMP0368,Connector-8616,COMP0354,114,3,Raw Part,High,SUPP046,40
COMP0223,Transistor-6753,COMP0406,15,2,Sub-assembly,Medium,SUPP047,33
COMP0411,Inductor-5494,COMP0082,8,3,Sub-assembly,Medium,SUPP057,3
COMP0065,MOSFET-8668,ROOT,200,1,Raw Part,Medium,SUPP073,3
COMP0310,Microcontroller-5892,COMP0231,95,2,Raw Part,Low,SUPP074,9
COMP0272,LED-7291,COMP0161,167,3,Sub-assembly,Low,SUPP004,48
COMP0096,Diode-9835,COMP0199,144,3,Sub-assembly,Low,SUPP091,29
COMP0110,Capacitor-9423,COMP0147,178,4,Module,Medium,SUPP016,9
COMP0437,Inductor-4929,ROOT,45,1,Module,Medium,SUPP012,52
COMP0350,IC-4249,COMP0164,171,4,Raw Part,High,SUPP070,19
COMP0457,LED-7594,COMP0081,183,2,PCB Assembly,Low,SUPP023,51
COMP0186,Diode-5325,COMP0063,52,3,PCB Assembly,Medium,SUPP064,2
COMP0185,LED-6617,COMP0189,120,3,PCB Assembly,Medium,SUPP079,6
COMP0034,Connector-6977,COMP0368,185,2,Raw Part,Medium,SUPP053,37
COMP0038,LED-2169,COMP0163,165,2,Sub-assembly,Medium,SUPP067,23
COMP0066,Sensor-5119,COMP0400,142,4,Raw Part,High,SUPP017,28
COMP0258,Connector-4501,COMP0029,32,4,Raw Part,Medium,SUPP021,21
COMP0479,Transistor-7561,COMP0178,133,3,Module,Low,SUPP033,13
COMP0326,Inductor-1823,COMP0141,33,4,Raw Part,Medium,SUPP012,33
COMP0329,Connector-6355,COMP0483,149,2,Sub-assembly,Medium,SUPP093,39
COMP0173,Diode-7054,COMP0289,11,4,PCB Assembly,High,SUPP006,42
COMP0395,Microcontroller-8434,COMP0334,54,3,PCB Assembly,Medium,SUPP082,2
COMP0255,Transistor-4443,COMP0280,75,4,Raw Part,Medium,SUPP032,52
COMP0414,LED-3068,COMP0153,117,3,Sub-assembly,High,SUPP057,27
COMP0248,Sensor-3085,COMP0175,156,3,Sub-assembly,Low,SUPP041,47
COMP0441,LED-8699,COMP0205,34,3,PCB Assembly,Medium,SUPP014,21
COMP0124,LED-6559,COMP0137,116,3,Sub-assembly,High,SUPP038,25
COMP0443,Diode-5720,COMP0128,41,3,PCB Assembly,Low,SUPP093,21
COMP0098,LED-6107,COMP0256,132,4,Raw Part,Low,SUPP064,2
COMP0047,IC-5386,COMP0259,118,4,Cable Assembly,Medium,SUPP046,4
COMP0026,Sensor-5803,COMP0306,168,2,PCB Assembly,Medium,SUPP002,7
COMP0221,IC-6378,COMP0136,187,2,Raw Part,Medium,SUPP006,26
COMP0027,Crystal-6925,COMP0100,93,3,Raw Part,High,SUPP065,29
COMP0392,Connector-9698,COMP0423,160,3,PCB Assembly,High,SUPP013,26
COMP0192,Inductor-5291,COMP0174,143,4,Module,Low,SUPP026,39
COMP0261,Crystal-2389,COMP0021,12,3,Sub-assembly,Low,SUPP061,34
COMP0234,MOSFET-4114,COMP0458,132,2,Sub-assembly,Low,SUPP041,11
COMP0202,Microcontroller-1653,COMP0379,77,4,Raw Part,Medium,SUPP066,35
COMP0251,Crystal-3851,COMP0154,122,3,PCB Assembly,Medium,SUPP087,8
COMP0214,LED-2771,COMP0408,186,3,Module,Medium,SUPP077,31
COMP0136,IC-8956,COMP0401,199,4,Raw Part,Medium,SUPP007,38
COMP0246,Microcontroller-7592,COMP0323,185,2,Raw Part,Low,SUPP019,44
COMP0125,Capacitor-5073,ROOT,180,1,Sub-assembly,High,SUPP041,27
COMP0078,Crystal-9317,COMP0105,106,3,Raw Part,Medium,SUPP061,48
COMP0373,Connector-7209,ROOT,36,1,Raw Part,Medium,SUPP085,31
COMP0270,Connector-7790,COMP0490,45,3,Raw Part,Medium,SUPP070,23
COMP0347,Inductor-6096,COMP0370,175,4,Raw Part,Medium,SUPP079,31
COMP0099,IC-7118,COMP0143,143,4,Sub-assembly,Low,SUPP039,50
COMP0148,Resistor-1821,COMP0354,181,3,Raw Part,Medium,SUPP072,51
COMP0370,Microcontroller-5022,COMP0063,147,2,PCB Assembly,Medium,SUPP051,23
COMP0489,MOSFET-9167,COMP0075,75,4,Sub-assembly,Low,SUPP011,23
COMP0474,Microcontroller-7690,COMP0132,192,3,Raw Part,Medium,SUPP069,18
COMP0478,IC-9117,COMP0140,36,3,Sub-assembly,Low,SUPP031,16
COMP0026,Sensor-5803,COMP0272,58,3,Raw Part,High,SUPP053,22
COMP0368,Connector-8616,COMP0349,198,3,Sub-assembly,Low,SUPP021,27
COMP0335,Resistor-6733,COMP0450,122,4,Raw Part,High,SUPP037,21
COMP0147,Resistor-6138,COMP0465,197,3,Sub-assembly,Medium,SUPP069,48
COMP0371,Capacitor-5569,COMP0020,45,4,Raw Part,Low,SUPP005,26
COMP0404,Transistor-9595,COMP0480,192,3,Cable Assembly,Low,SUPP005,1
COMP0153,Inductor-2122,COMP0055,86,3,Sub-assembly,Low,SUPP070,34
COMP0253,IC-9977,COMP0069,130,4,Raw Part,High,SUPP015,22
COMP0084,Connector-1319,COMP0332,66,3,PCB Assembly,High,SUPP044,51
COMP0152,Sensor-2312,COMP0388,50,3,Sub-assembly,Low,SUPP052,28
COMP0264,Capacitor-4848,COMP0206,172,2,Sub-assembly,Low,SUPP062,21
COMP0480,Sensor-1601,COMP0134,99,2,Sub-assembly,Low,SUPP043,20
COMP0299,Diode-7275,COMP0006,67,3,PCB Assembly,Medium,SUPP008,43
COMP0061,Inductor-3621,COMP0082,104,3,PCB Assembly,Low,SUPP091,50
COMP0160,IC-9565,COMP0328,76,3,Raw Part,Medium,SUPP018,31
COMP0079,MOSFET-4258,COMP0311,96,3,Raw Part,Medium,SUPP061,49
COMP0276,Capacitor-7965,COMP0423,56,4,PCB Assembly,Medium,SUPP077,51
COMP0042,IC-5422,COMP0271,181,3,Raw Part,Low,SUPP015,4
COMP0425,Inductor-3444,COMP0259,52,3,Raw Part,High,SUPP042,34
COMP0227,Capacitor-5279,COMP0106,184,2,Raw Part,High,SUPP066,29
COMP0415,Crystal-9042,ROOT,34,1,Raw Part,Medium,SUPP008,36
COMP0237,Resistor-9518,COMP0158,186,3,Sub-assembly,Medium,SUPP001,48
COMP0112,Crystal-8953,COMP0024,109,3,Raw Part,High,SUPP008,5
COMP0479,Transistor-7561,COMP0147,105,3,Sub-assembly,High,SUPP083,47
COMP0331,Transistor-7906,COMP0192,98,4,Raw Part,Low,SUPP049,25
COMP0042,IC-5422,COMP0339,139,3,Sub-assembly,Low,SUPP016,12
COMP0276,Capacitor-7965,COMP0066,187,3,Cable Assembly,Low,SUPP097,2
COMP0153,Inductor-2122,COMP0369,140,3,Raw Part,Medium,SUPP030,16
COMP0236,LED-8144,COMP0142,49,3,Module,Low,SUPP015,3
COMP0415,Crystal-9042,COMP0315,197,3,Module,Low,SUPP031,14
COMP0035,Inductor-7065,COMP0018,115,2,Raw Part,Low,SUPP007,16
COMP0380,Sensor-1166,ROOT,113,1,Sub-assembly,Medium,SUPP100,4
COMP0072,IC-3591,COMP0149,60,3,PCB Assembly,Low,SUPP041,37
COMP0307,IC-1320,COMP0420,83,4,Sub-assembly,Low,SUPP085,34
COMP0114,Inductor-8744,COMP0141,16,3,Raw Part,Medium,SUPP095,12
COMP0321,MOSFET-9751,COMP0285,127,3,Sub-assembly,Medium,SUPP083,43
COMP0196,Capacitor-2232,COMP0164,179,4,Raw Part,High,SUPP049,12
COMP0387,Connector-1282,COMP0124,58,3,Raw Part,Low,SUPP060,4
COMP0288,LED-8777,COMP0214,143,3,Raw Part,Medium,SUPP033,14
COMP0170,Diode-9288,COMP0473,116,3,PCB Assembly,High,SUPP093,13
COMP0027,Crystal-6925,COMP0345,155,2,Raw Part,Low,SUPP025,52
COMP0390,LED-4986,COMP0344,144,3,Sub-assembly,Medium,SUPP043,20
COMP0490,Crystal-8242,COMP0109,49,4,Cable Assembly,High,SUPP097,31
COMP0469,Sensor-8245,COMP0310,181,2,Sub-assembly,Low,SUPP071,21
COMP0398,Capacitor-4155,COMP0239,137,2,Raw Part,Medium,SUPP047,33
COMP0452,Capacitor-1977,COMP0051,185,3,Raw Part,Low,SUPP027,24
COMP0161,Microcontroller-5272,COMP0289,57,3,PCB Assembly,High,SUPP071,38
COMP0297,Sensor-2320,COMP0152,40,3,Sub-assembly,Medium,SUPP073,16
COMP0256,IC-6279,COMP0484,176,3,Raw Part,Low,SUPP063,47
COMP0329,Connector-6355,COMP0236,44,3,PCB Assembly,Medium,SUPP018,47
COMP0280,Sensor-5082,COMP0470,139,3,Cable Assembly,Low,SUPP068,3
COMP0430,Sensor-7232,COMP0484,172,4,Sub-assembly,High,SUPP018,41
COMP0119,Microcontroller-7939,ROOT,39,1,Sub-assembly,Medium,SUPP048,4
COMP0317,IC-6507,COMP0479,158,3,Module,Medium,SUPP003,1
COMP0273,Connector-7547,COMP0007,5,3,Raw Part,Medium,SUPP037,2
COMP0258,Connector-4501,COMP0346,111,4,PCB Assembly,Low,SUPP014,7
COMP0269,Connector-2193,COMP0099,159,2,Raw Part,Low,SUPP035,51
COMP0204,Crystal-5088,ROOT,104,1,Raw Part,Medium,SUPP090,15
COMP0154,MOSFET-2113,COMP0435,21,3,PCB Assembly,Low,SUPP098,3
COMP0048,Capacitor-4456,COMP0194,142,3,Raw Part,Medium,SUPP090,11
COMP0043,Crystal-4598,COMP0223,166,3,PCB Assembly,Medium,SUPP013,34
COMP0471,MOSFET-8141,ROOT,55,1,Module,Medium,SUPP073,31
COMP0139,Inductor-7209,ROOT,20,1,PCB Assembly,Medium,SUPP070,37
COMP0337,Crystal-1659,ROOT,81,1,Sub-assembly,Medium,SUPP019,49
COMP0421,Transistor-8827,COMP0204,20,3,Sub-assembly,Medium,SUPP073,25
COMP0347,Inductor-6096,COMP0170,99,4,PCB Assembly,High,SUPP089,47
COMP0041,Inductor-8573,COMP0499,89,3,Sub-assembly,Medium,SUPP010,22
COMP0310,Microcontroller-5892,COMP0489,153,4,Raw Part,Low,SUPP004,41
COMP0140,Resistor-7396,COMP0231,126,4,Sub-assembly,Medium,SUPP049,28
COMP0096,Diode-9835,COMP0339,98,3,Sub-assembly,Medium,SUPP032,46
COMP0038,LED-2169,COMP0079,98,2,PCB Assembly,Medium,SUPP095,25
COMP0163,Diode-5351,COMP0047,2,3,Module,Medium,SUPP098,18
COMP0053,Inductor-5040,COMP0096,111,2,Raw Part,Medium,SUPP053,7
COMP0014,Connector-5557,COMP0284,24,2,Raw Part,Low,SUPP050,1
COMP0150,Sensor-9701,COMP0399,22,3,PCB Assembly,Medium,SUPP032,37
COMP0267,Inductor-1400,COMP0195,44,2,Sub-assembly,Medium,SUPP064,10
COMP0033,IC-5554,COMP0142,108,2,Sub-assembly,Low,SUPP047,17
COMP0484,IC-9431,COMP0321,127,2,Raw Part,High,SUPP014,9
COMP0156,IC-2964,ROOT,102,1,Raw Part,Medium,SUPP043,29
COMP0172,Microcontroller-2127,COMP0422,167,3,Cable Assembly,High,SUPP042,39
COMP0486,Connector-7770,COMP0246,81,3,Sub-assembly,Medium,SUPP041,19
COMP0377,Diode-6813,COMP0252,148,3,PCB Assembly,Medium,SUPP036,51
COMP0202,Microcontroller-1653,COMP0478,145,3,Sub-assembly,Low,SUPP024,44
COMP0394,LED-6419,COMP0488,187,3,Raw Part,Low,SUPP057,52
COMP0150,Sensor-9701,COMP0036,105,4,PCB Assembly,High,SUPP039,16
COMP0130,Connector-5092,COMP0367,109,3,PCB Assembly,High,SUPP077,31
COMP0299,Diode-7275,COMP0260,178,3,Raw Part,High,SUPP047,45
COMP0459,Sensor-9090,COMP0305,164,4,Module,High,SUPP032,43
COMP0341,Diode-3068,COMP0332,157,3,Sub-assembly,Low,SUPP087,42
COMP0205,Crystal-2684,COMP0170,111,4,Sub-assembly,High,SUPP029,33
COMP0383,LED-7658,COMP0298,177,3,Raw Part,Medium,SUPP051,30
COMP0396,Transistor-6023,COMP0354,129,3,Sub-assembly,Low,SUPP062,7
COMP0152,Sensor-2312,COMP0493,22,3,Sub-assembly,Low,SUPP019,23
COMP0160,IC-9565,COMP0402,53,3,Raw Part,Medium,SUPP013,29
COMP0370,Microcontroller-5022,COMP0164,18,3,Raw Part,Low,SUPP015,2
COMP0435,Diode-4457,COMP0056,174,3,PCB Assembly,Low,SUPP095,16
COMP0265,Crystal-6085,COMP0082,85,2,Raw Part,Low,SUPP030,52
COMP0208,Diode-3662,COMP0096,164,3,PCB Assembly,Medium,SUPP095,40
COMP0453,Inductor-6039,COMP0304,110,2,Raw Part,Low,SUPP027,18
COMP0386,Crystal-9041,COMP0408,17,3,Raw Part,Low,SUPP069,12
COMP0188,Transistor-1832,COMP0235,30,2,Sub-assembly,Low,SUPP068,41
COMP0161,Microcontroller-5272,COMP0313,101,3,Raw Part,Medium,SUPP059,40
COMP0089,Capacitor-8962,COMP0362,77,4,Module,Medium,SUPP087,9
COMP0161,Microcontroller-5272,COMP0157,30,2,Sub-assembly,Medium,SUPP066,25
COMP0215,IC-1634,COMP0295,99,3,Raw Part,Medium,SUPP069,45
COMP0471,MOSFET-8141,COMP0089,143,3,Sub-assembly,Medium,SUPP024,21
COMP0432,Transistor-8025,COMP0028,92,3,Cable Assembly,Medium,SUPP025,25
COMP0494,Connector-8941,COMP0335,127,3,Raw Part,Medium,SUPP091,29
COMP0251,Crystal-3851,COMP0290,8,2,PCB Assembly,Medium,SUPP005,18
COMP0116,IC-4119,COMP0087,200,3,Raw Part,Low,SUPP099,32
COMP0282,Inductor-8612,COMP0294,30,3,Sub-assembly,Medium,SUPP047,35
COMP0422,Capacitor-2070,COMP0390,185,4,Raw Part,Medium,SUPP055,7
COMP0377,Diode-6813,COMP0385,64,4,Sub-assembly,Low,SUPP058,17
COMP0179,Crystal-2697,COMP0045,113,4,Module,High,SUPP031,14
COMP0416,Capacitor-1200,COMP0353,90,3,Module,Medium,SUPP055,11
COMP0316,Connector-1475,COMP0106,53,2,PCB Assembly,Medium,SUPP069,18
COMP0306,Diode-7883,COMP0166,181,3,Sub-assembly,Medium,SUPP066,44
COMP0418,Connector-8843,COMP0493,193,2,PCB Assembly,Low,SUPP036,42
COMP0065,MOSFET-8668,COMP0068,64,3,Sub-assembly,Medium,SUPP032,49
COMP0432,Transistor-8025,COMP0251,37,3,Raw Part,Medium,SUPP054,25
COMP0232,IC-9379,ROOT,197,1,Sub-assembly,Medium,SUPP036,45
COMP0480,Sensor-1601,COMP0233,125,4,Raw Part,High,SUPP100,47
COMP0048,Capacitor-4456,COMP0235,163,3,PCB Assembly,Medium,SUPP009,51
COMP0274,Diode-3417,COMP0496,110,3,PCB Assembly,Medium,SUPP042,19
COMP0173,Diode-7054,COMP0067,145,3,Module,Low,SUPP088,49
COMP0025,IC-2291,ROOT,161,1,PCB Assembly,Medium,SUPP016,11
COMP0226,Microcontroller-1452,COMP0491,110,3,Sub-assembly,Medium,SUPP017,42
COMP0155,Crystal-4853,COMP0478,71,2,Sub-assembly,Medium,SUPP011,24
COMP0341,Diode-3068,COMP0085,14,4,Raw Part,Medium,SUPP090,49
COMP0120,IC-8651,COMP0047,181,3,Sub-assembly,Medium,SUPP010,9
COMP0304,Sensor-8633,COMP0349,114,2,Sub-assembly,Medium,SUPP016,28
COMP0356,IC-7071,COMP0037,59,2,Raw Part,Low,SUPP014,7
COMP0161,Microcontroller-5272,COMP0154,36,3,Raw Part,Low,SUPP018,42
COMP0347,Inductor-6096,COMP0272,145,2,Sub-assembly,Medium,SUPP057,23
COMP0370,Microcontroller-5022,COMP0384,39,2,Module,Medium,SUPP057,14
COMP0045,Resistor-4752,COMP0072,193,4,Sub-assembly,Low,SUPP045,28
COMP0162,Diode-6147,COMP0127,71,4,Raw Part,Medium,SUPP077,39
COMP0370,Microcontroller-5022,COMP0399,177,3,Sub-assembly,Low,SUPP039,14
COMP0266,Diode-4262,COMP0097,192,3,Raw Part,Medium,SUPP031,32
COMP0198,Sensor-1590,COMP0256,164,2,Raw Part,Medium,SUPP002,24
COMP0479,Transistor-7561,COMP0199,146,2,Raw Part,Medium,SUPP023,49
COMP0242,Crystal-3041,COMP0395,19,4,Sub-assembly,High,SUPP034,14
COMP0021,Capacitor-6881,COMP0486,102,4,Raw Part,Medium,SUPP065,50
COMP0213,Transistor-3608,COMP0206,22,3,Raw Part,Medium,SUPP020,18
COMP0043,Crystal-4598,COMP0262,53,2,Cable Assembly,High,SUPP042,26
COMP0301,LED-4505,COMP0428,167,3,PCB Assembly,High,SUPP090,28
COMP0374,Microcontroller-1470,COMP0123,15,4,Sub-assembly,Low,SUPP015,30
COMP0314,Connector-4595,COMP0159,171,3,PCB Assembly,Low,SUPP016,1
COMP0363,LED-3506,COMP0006,42,2,Raw Part,Medium,SUPP067,51
COMP0422,Capacitor-2070,COMP0086,96,3,Sub-assembly,Low,SUPP035,47
COMP0454,MOSFET-5728,COMP0461,8,2,Raw Part,Medium,SUPP068,5
COMP0135,Diode-3724,COMP0296,161,3,Sub-assembly,Medium,SUPP047,4
COMP0256,IC-6279,COMP0086,95,4,Sub-assembly,Low,SUPP074,44
COMP0371,Capacitor-5569,COMP0380,131,2,Sub-assembly,Low,SUPP002,16
COMP0024,Sensor-3045,COMP0197,39,3,Sub-assembly,Low,SUPP005,36
COMP0412,Resistor-1893,COMP0380,168,4,Raw Part,Medium,SUPP054,47
COMP0164,IC-3144,COMP0040,147,2,Raw Part,Medium,SUPP007,12
COMP0115,Diode-8749,COMP0024,103,4,Sub-assembly,Medium,SUPP037,50
COMP0433,Transistor-1986,COMP0045,142,2,Raw Part,Medium,SUPP038,37
COMP0402,Diode-4545,COMP0319,63,2,Raw Part,Medium,SUPP064,50
COMP0398,Capacitor-4155,COMP0462,140,2,PCB Assembly,Medium,SUPP001,27
COMP0013,IC-4611,COMP0178,163,2,PCB Assembly,Low,SUPP043,1
COMP0389,Diode-7625,COMP0435,189,3,PCB Assembly,High,SUPP068,16
COMP0215,IC-1634,COMP0031,37,3,PCB Assembly,High,SUPP030,34
COMP0212,IC-5065,COMP0191,118,3,Cable Assembly,High,SUPP013,33
COMP0069,Crystal-9797,COMP0202,20,3,Raw Part,High,SUPP085,9
COMP0122,Crystal-2612,COMP0436,81,2,Module,Medium,SUPP095,21
COMP0163,Diode-5351,COMP0120,20,3,Module,High,SUPP099,38
COMP0056,MOSFET-7543,COMP0085,116,2,Raw Part,Medium,SUPP069,23
COMP0494,Connector-8941,COMP0232,79,4,Raw Part,Low,SUPP012,11
COMP0414,LED-3068,COMP0424,181,3,PCB Assembly,High,SUPP042,10
COMP0047,IC-5386,COMP0496,92,3,Raw Part,High,SUPP039,17
