Risk ID,Supplier ID,Risk Type (Shortage / Delay / Shutdown),Severity Level (High/Medium/Low),Probability of Occurrence,Date of Risk Event,Affected Component ID,Expected Recovery Time
RISK00060,SUPP091,Shortage,High,0.44,2025-05-29,COMP0452,12 days
RISK00061,SUPP026,Shortage,High,0.39,2024-03-19,COMP0409,30 days
RISK00062,SUPP060,Shutdown,Low,0.34,2021-10-22,COMP0145,80 days
RISK00063,SUPP048,Shutdown,Medium,0.76,2023-04-14,COMP0285,148 days
RISK00064,SUPP022,Shortage,High,0.67,2024-12-11,COMP0153,178 days
RISK00065,SUPP049,Delay,Low,0.53,2020-02-16,COMP0057,143 days
RISK00066,SUPP002,Delay,Medium,0.63,2021-05-05,COMP0499,129 days
RISK00067,SUPP057,Delay,Medium,0.86,2025-12-25,COMP0319,117 days
RISK00068,SUPP055,Delay,Medium,0.08,2022-06-07,COMP0015,39 days
RISK00069,SUPP061,Shortage,Medium,0.64,2022-11-10,COMP0284,99 days
RISK00070,SUPP073,Shutdown,Medium,0.74,2020-12-07,COMP0419,161 days
RISK00071,SUPP088,Delay,Low,0.18,2023-10-04,COMP0287,11 days
RISK00072,SUPP069,Shutdown,Medium,0.26,2025-02-08,COMP0025,61 days
RISK00073,SUPP100,Shutdown,Medium,0.68,2024-04-24,COMP0475,3 days
RISK00074,SUPP086,Delay,Medium,0.09,2022-02-02,COMP0390,152 days
RISK00075,SUPP060,Shutdown,High,0.56,2025-10-18,COMP0471,101 days
RISK00076,SUPP086,Delay,Medium,0.19,2025-05-19,COMP0261,112 days
RISK00077,SUPP037,Shortage,High,0.9,2024-11-04,COMP0386,66 days
RISK00078,SUPP058,Shutdown,Medium,0.79,2021-12-22,COMP0015,92 days
RISK00079,SUPP015,Delay,High,0.29,2022-08-20,COMP0031,87 days
RISK00080,SUPP054,Delay,Low,0.04,2023-08-16,COMP0172,115 days
RISK00081,SUPP081,Shutdown,Medium,0.61,2022-02-21,COMP0079,61 days
RISK00082,SUPP081,Shortage,High,0.87,2021-09-24,COMP0455,140 days
RISK00083,SUPP100,Delay,Medium,0.45,2024-08-16,COMP0258,87 days
RISK00084,SUPP044,Delay,Medium,0.38,2021-09-30,COMP0416,80 days
RISK00085,SUPP086,Shortage,Medium,0.93,2020-12-20,COMP0394,56 days
RISK00086,SUPP079,Shortage,Medium,0.52,2021-11-12,COMP0164,94 days
RISK00087,SUPP043,Shortage,Low,0.33,2023-04-23,COMP0465,92 days
RISK00088,SUPP075,Shutdown,Medium,0.5,2023-12-24,COMP0215,84 days
RISK00089,SUPP053,Delay,High,0.04,2023-08-31,COMP0170,143 days
RISK00090,SUPP059,Delay,Medium,0.16,2020-01-29,COMP0230,16 days
RISK00091,SUPP047,Shutdown,High,0.73,2024-11-22,COMP0498,79 days
RISK00092,SUPP098,Delay,Medium,0.49,2021-04-13,COMP0341,50 days
RISK00093,SUPP070,Shutdown,Medium,0.71,2022-03-26,COMP0466,103 days
RISK00094,SUPP100,Delay,High,0.62,2025-08-23,COMP0381,102 days
RISK00095,SUPP058,Delay,High,0.28,2023-01-30,COMP0236,151 days
RISK00096,SUPP092,Delay,Medium,0.53,2021-03-27,COMP0396,104 days
RISK00097,SUPP005,Delay,Medium,0.38,2023-07-15,COMP0073,175 days
RISK00098,SUPP095,Shutdown,Medium,0.75,2021-08-11,COMP0391,16 days
RISK00099,SUPP018,Shutdown,Low,0.62,2020-02-06,COMP0048,127 days
RISK00100,SUPP032,Delay,Medium,0.78,2021-11-12,COMP0339,28 days
RISK00101,SUPP008,Shutdown,Medium,0.61,2024-02-23,COMP0471,95 days
RISK00102,SUPP033,Delay,Medium,0.2,2024-04-20,COMP0098,60 days
RISK00103,SUPP085,Shutdown,Low,0.88,2022-06-28,COMP0344,73 days
RISK00104,SUPP006,Delay,Medium,0.52,2021-03-01,COMP0106,64 days
RISK00105,SUPP052,Shutdown,High,0.11,2020-08-26,COMP0186,177 days
RISK00106,SUPP065,Shutdown,Low,0.49,2022-06-05,COMP0285,104 days
RISK00107,SUPP025,Shortage,Low,0.86,2022-11-20,COMP0033,66 days
RISK00108,SUPP011,Delay,Low,0.15,2022-11-10,COMP0317,34 days
RISK00109,SUPP036,Delay,High,0.19,2020-11-30,COMP0412,52 days
RISK00110,SUPP025,Shutdown,Medium,0.84,2023-12-24,COMP0381,38 days
RISK00111,SUPP082,Delay,Medium,0.66,2025-06-22,COMP0421,52 days
RISK00112,SUPP008,Delay,Medium,0.58,2025-01-29,COMP0063,164 days
RISK00113,SUPP052,Shutdown,Medium,0.64,2022-01-05,COMP0342,165 days
RISK00114,SUPP013,Shutdown,High,0.38,2021-03-12,COMP0064,82 days
RISK00115,SUPP009,Shortage,Medium,0.43,2020-04-29,COMP0418,74 days
RISK00116,SUPP090,Shortage,Medium,0.05,2020-03-10,COMP0237,31 days
RISK00117,SUPP088,Shutdown,High,0.72,2021-07-21,COMP0007,114 days
RISK00118,SUPP020,Shortage,Low,0.43,2021-02-11,COMP0043,92 days
RISK00119,SUPP013,Delay,Medium,0.54,2022-04-06,COMP0172,90 days
RISK00120,SUPP017,Delay,Medium,0.67,2022-03-20,COMP0087,69 days
RISK00121,SUPP069,Shortage,High,0.92,2024-06-17,COMP0478,36 days
RISK00122,SUPP098,Delay,Low,0.19,2024-06-29,COMP0231,23 days
RISK00123,SUPP048,Shortage,Medium,0.16,2021-10-17,COMP0018,58 days
RISK00124,SUPP030,Shortage,Low,0.76,2024-12-15,COMP0065,17 days
RISK00125,SUPP030,Delay,Low,0.79,2025-10-09,COMP0051,100 days
RISK00126,SUPP065,Shortage,High,0.32,2024-12-11,COMP0140,144 days
RISK00127,SUPP027,Shortage,High,0.13,2025-06-14,COMP0360,25 days
RISK00128,SUPP087,Shortage,Medium,0.39,2021-09-19,COMP0077,83 days
RISK00129,SUPP079,Shortage,Medium,0.89,2024-02-29,COMP0371,55 days
RISK00130,SUPP065,Shutdown,Medium,0.63,2021-11-19,COMP0137,18 days
RISK00131,SUPP091,Delay,High,0.17,2021-09-27,COMP0186,110 days
RISK00132,SUPP014,Delay,Medium,0.53,2023-12-01,COMP0325,153 days
RISK00133,SUPP055,Delay,Medium,0.41,2020-06-23,COMP0152,160 days
RISK00134,SUPP084,Shutdown,Low,0.89,2022-05-18,COMP0038,128 days
RISK00135,SUPP069,Delay,Low,0.02,2021-10-10,COMP0172,78 days
RISK00136,SUPP007,Delay,Medium,0.58,2023-10-10,COMP0129,6 days
RISK00137,SUPP048,Shortage,Medium,0.79,2024-11-12,COMP0008,89 days
RISK00138,SUPP013,Shutdown,Medium,0.67,2021-04-09,COMP0466,131 days
RISK00139,SUPP019,Shutdown,Low,0.76,2020-09-19,COMP0151,121 days
RISK00140,SUPP092,Delay,Medium,0.58,2024-12-18,COMP0487,117 days
RISK00141,SUPP077,Shortage,Medium,0.66,2022-02-26,COMP0373,69 days
RISK00142,SUPP005,Delay,Medium,0.35,2020-07-08,COMP0452,53 days
RISK00143,SUPP012,Delay,Medium,0.51,2022-06-09,COMP0155,167 days
RISK00144,SUPP059,Shutdown,Medium,0.42,2020-10-16,COMP0191,30 days
RISK00145,SUPP042,Shortage,Medium,0.42,2024-09-20,COMP0452,62 days
RISK00146,SUPP100,Delay,Medium,0.45,2024-06-04,COMP0290,179 days
RISK00147,SUPP100,Delay,Low,0.34,2024-07-02,COMP0129,112 days
RISK00148,SUPP018,Shutdown,Medium,0.83,2024-11-19,COMP0224,52 days
RISK00149,SUPP035,Shutdown,Medium,0.92,2021-05-01,COMP0039,11 days
RISK00150,SUPP046,Delay,High,0.88,2020-07-17,COMP0188,133 days
RISK00151,SUPP081,Shutdown,Low,0.19,2023-01-22,COMP0178,99 days
RISK00152,SUPP076,Delay,High,0.87,2021-02-09,COMP0156,105 days
RISK00153,SUPP012,Shortage,Low,0.49,2024-11-22,COMP0208,35 days
RISK00154,SUPP016,Shortage,Medium,0.2,2025-10-07,COMP0472,14 days
RISK00155,SUPP007,Delay,Medium,0.46,2025-04-11,COMP0324,59 days
RISK00156,SUPP017,Shortage,High,0.44,2025-09-30,COMP0202,132 days
RISK00157,SUPP024,Delay,Medium,0.2,2024-02-19,COMP0292,26 days
RISK00158,SUPP024,Delay,Low,0.41,2021-12-01,COMP0296,16 days
RISK00159,SUPP056,Shutdown,Low,0.49,2025-05-27,COMP0129,115 days
RISK00160,SUPP001,Shortage,High,0.09,2024-01-09,COMP0421,35 days
RISK00161,SUPP089,Delay,High,0.94,2020-02-25,COMP0136,88 days
RISK00162,SUPP087,Shortage,Medium,0.21,2023-01-19,COMP0104,87 days
RISK00163,SUPP062,Delay,High,0.33,2023-01-20,COMP0040,93 days
RISK00164,SUPP086,Shortage,Medium,0.15,2021-05-12,COMP0262,80 days
RISK00165,SUPP092,Delay,Low,0.64,2022-06-19,COMP0088,117 days
RISK00166,SUPP047,Delay,Low,0.25,2024-08-04,COMP0063,158 days
RISK00167,SUPP037,Shortage,Medium,0.76,2024-03-30,COMP0348,89 days
RISK00168,SUPP056,Shutdown,Medium,0.34,2022-12-29,COMP0233,174 days
RISK00169,SUPP011,Shortage,Medium,0.15,2023-12-10,COMP0077,58 days
RISK00170,SUPP092,Delay,Low,0.57,2022-12-16,COMP0142,106 days
RISK00171,SUPP089,Delay,Medium,0.94,2022-08-07,COMP0432,128 days
RISK00172,SUPP005,Delay,Medium,0.24,2024-10-11,COMP0311,150 days
RISK00173,SUPP020,Delay,Low,0.03,2025-03-28,COMP0051,140 days
RISK00174,SUPP072,Delay,Low,0.9,2024-01-03,COMP0405,52 days
RISK00175,SUPP010,Delay,Low,0.93,2020-10-26,COMP0494,64 days
RISK00176,SUPP064,Shortage,High,0.35,2025-12-19,COMP0191,103 days
RISK00177,SUPP098,Shortage,Medium,0.83,2021-01-13,COMP0294,19 days
RISK00178,SUPP088,Delay,High,0.24,2024-01-26,COMP0023,39 days
RISK00179,SUPP030,Delay,Low,0.02,2020-05-27,COMP0067,52 days
RISK00180,SUPP062,Shutdown,Medium,0.23,2025-12-06,COMP0154,117 days
RISK00181,SUPP080,Shortage,Low,0.44,2023-01-09,COMP0253,72 days
RISK00182,SUPP032,Delay,Medium,0.1,2020-11-12,COMP0117,147 days
RISK00183,SUPP051,Delay,Medium,0.91,2024-07-28,COMP0374,135 days
RISK00184,SUPP031,Shutdown,High,0.31,2022-05-23,COMP0077,150 days
RISK00185,SUPP065,Shortage,Low,0.44,2024-09-01,COMP0092,39 days
RISK00186,SUPP002,Delay,Low,0.18,2025-06-18,COMP0196,178 days
RISK00187,SUPP065,Delay,Medium,0.14,2021-06-08,COMP0219,74 days
RISK00188,SUPP011,Shortage,Medium,0.84,2025-01-30,COMP0274,150 days
RISK00189,SUPP014,Delay,High,0.93,2022-08-18,COMP0136,98 days
RISK00190,SUPP064,Shortage,Medium,0.03,2024-09-19,COMP0354,60 days
RISK00191,SUPP035,Delay,Low,0.31,2024-08-10,COMP0143,65 days
RISK00192,SUPP098,Delay,Low,0.05,2020-05-12,COMP0455,26 days
RISK00193,SUPP004,Shortage,Medium,0.43,2020-09-18,COMP0261,135 days
RISK00194,SUPP058,Delay,Low,0.82,2023-01-01,COMP0382,161 days
RISK00195,SUPP088,Delay,Low,0.38,2023-01-02,COMP0110,16 days
RISK00196,SUPP030,Delay,Low,0.54,2021-06-25,COMP0031,85 days
RISK00197,SUPP097,Delay,High,0.82,2025-02-27,COMP0286,174 days
RISK00198,SUPP045,Delay,Medium,0.21,2022-07-30,COMP0186,94 days
RISK00199,SUPP067,Shortage,Low,0.2,2025-04-08,COMP0347,92 days
RISK00200,SUPP005,Shortage,Medium,0.12,2020-05-11,COMP0233,60 days
RISK00201,SUPP061,Delay,Medium,0.2,2024-11-05,COMP0353,135 days
RISK00202,SUPP094,Shortage,Medium,0.67,2023-11-28,COMP0145,102 days
RISK00203,SUPP005,Shortage,Medium,0.02,2024-04-27,COMP0304,52 days
RISK00204,SUPP091,Shortage,Medium,0.08,2020-12-20,COMP0412,103 days
RISK00205,SUPP097,Shortage,High,0.45,2021-11-08,COMP0364,172 days
RISK00206,SUPP099,Delay,Low,0.61,2025-03-10,COMP0178,127 days
RISK00207,SUPP034,Shutdown,High,0.47,2021-05-25,COMP0484,79 days
RISK00208,SUPP093,Shutdown,Low,0.89,2020-08-04,COMP0474,1 days
RISK00209,SUPP093,Shortage,Medium,0.15,2025-10-26,COMP0378,136 days
RISK00210,SUPP030,Shortage,High,0.27,2023-05-14,COMP0316,157 days
RISK00211,SUPP052,Delay,Low,0.17,2022-02-14,COMP0255,34 days
RISK00212,SUPP078,Shutdown,Low,0.61,2023-04-27,COMP0232,28 days
RISK00213,SUPP025,Delay,High,0.61,2025-03-30,COMP0451,174 days
RISK00214,SUPP084,Delay,Medium,0.27,2025-03-05,COMP0307,89 days
RISK00215,SUPP073,Shortage,Medium,0.31,2020-09-24,COMP0244,6 days
RISK00216,SUPP042,Shortage,High,0.27,2023-12-05,COMP0244,121 days
RISK00217,SUPP029,Shortage,Medium,0.12,2025-01-01,COMP0029,63 days
RISK00218,SUPP014,Shutdown,Medium,0.6,2024-12-21,COMP0087,111 days
RISK00219,SUPP030,Delay,Low,0.3,2024-07-31,COMP0491,132 days
RISK00220,SUPP051,Shortage,Medium,0.36,2023-11-22,COMP0147,94 days
RISK00221,SUPP082,Delay,Low,0.49,2020-10-04,COMP0149,95 days
RISK00222,SUPP013,Shortage,Medium,0.85,2025-12-01,COMP0302,119 days
RISK00223,SUPP016,Shortage,Low,0.2,2021-05-29,COMP0126,22 days
RISK00224,SUPP034,Shortage,Medium,0.4,2024-12-01,COMP0250,52 days
RISK00225,SUPP083,Shortage,Medium,0.85,2025-07-22,COMP0226,2 days
RISK00226,SUPP029,Delay,Medium,0.94,2024-12-09,COMP0182,155 days
RISK00227,SUPP048,Shutdown,Low,0.75,2020-05-26,COMP0103,152 days
RISK00228,SUPP042,Delay,High,0.67,2020-03-11,COMP0426,94 days
RISK00229,SUPP031,Shortage,High,0.4,2020-01-07,COMP0044,131 days
RISK00230,SUPP083,Delay,High,0.62,2021-03-19,COMP0142,120 days
RISK00231,SUPP042,Delay,Medium,0.06,2025-06-12,COMP0401,54 days
RISK00232,SUPP064,Delay,Low,0.87,2024-09-16,COMP0029,105 days
RISK00233,SUPP051,Shutdown,Medium,0.67,2020-11-29,COMP0195,165 days
RISK00234,SUPP039,Delay,Medium,0.33,2022-12-21,COMP0493,78 days
RISK00235,SUPP062,Shortage,High,0.56,2022-08-20,COMP0264,37 days
RISK00236,SUPP023,Delay,Medium,0.16,2024-12-03,COMP0420,31 days
RISK00237,SUPP080,Delay,Medium,0.08,2025-07-22,COMP0084,37 days
RISK00238,SUPP025,Shortage,Medium,0.44,2020-06-03,COMP0261,170 days
RISK00239,SUPP040,Delay,Low,0.26,2023-06-07,COMP0207,49 days
RISK00240,SUPP075,Shutdown,High,0.56,2022-05-27,COMP0297,102 days
RISK00241,SUPP079,Shortage,Low,0.58,2021-11-15,COMP0395,123 days
RISK00242,SUPP061,Delay,High,0.14,2022-01-05,COMP0431,15 days
RISK00243,SUPP056,Delay,Medium,0.52,2020-12-05,COMP0136,88 days
RISK00244,SUPP050,Delay,Medium,0.42,2025-11-07,COMP0310,137 days
RISK00245,SUPP076,Shortage,Medium,0.61,2024-02-09,COMP0437,43 days
RISK00246,SUPP035,Delay,Medium,0.26,2021-10-21,COMP0273,76 days
RISK00247,SUPP071,Shortage,Medium,0.53,2020-01-28,COMP0190,56 days
RISK00248,SUPP017,Shutdown,Low,0.63,2024-02-28,COMP0458,23 days
RISK00249,SUPP068,Delay,Medium,0.35,2024-06-13,COMP0460,24 days
RISK00250,SUPP019,Shutdown,Medium,0.37,2020-04-08,COMP0091,22 days
RISK00251,SUPP076,Delay,High,0.4,2025-09-15,COMP0290,20 days
RISK00252,SUPP042,Shutdown,Medium,0.6,2024-09-10,COMP0160,28 days
RISK00253,SUPP079,Shortage,Low,0.65,2025-08-08,COMP0264,45 days
RISK00254,SUPP029,Shortage,High,0.35,2025-10-16,COMP0339,95 days
RISK00255,SUPP080,Delay,High,0.81,2023-12-05,COMP0415,130 days
RISK00256,SUPP088,Delay,Low,0.49,2023-04-04,COMP0367,39 days
RISK00257,SUPP016,Shutdown,High,0.01,2020-12-06,COMP0247,18 days
RISK00258,SUPP034,Delay,Medium,0.85,2020-10-29,COMP0408,86 days
RISK00259,SUPP058,Shortage,Low,0.53,2023-07-09,COMP0271,120 days
RISK00260,SUPP002,Shortage,Medium,0.88,2021-03-10,COMP0309,106 days
RISK00261,SUPP036,Delay,Low,0.19,2022-04-04,COMP0038,161 days
RISK00262,SUPP098,Delay,Low,0.84,2020-11-20,COMP0421,70 days
RISK00263,SUPP042,Delay,Low,0.94,2025-10-12,COMP0407,110 days
RISK00264,SUPP049,Delay,High,0.25,2024-04-26,COMP0005,120 days
RISK00265,SUPP085,Shortage,Medium,0.45,2022-02-15,COMP0136,38 days
RISK00266,SUPP056,Delay,High,0.15,2023-10-10,COMP0025,86 days
RISK00267,SUPP014,Shortage,High,0.63,2021-07-25,COMP0347,152 days
RISK00268,SUPP090,Delay,Medium,0.51,2025-11-16,COMP0439,42 days
RISK00269,SUPP089,Delay,High,0.14,2020-02-07,COMP0026,127 days
RISK00270,SUPP008,Delay,High,0.65,2021-12-27,COMP0489,158 days
RISK00271,SUPP043,Shortage,Medium,0.39,2025-09-27,COMP0130,107 days
RISK00272,SUPP025,Shortage,Low,0.85,2023-05-13,COMP0375,176 days
RISK00273,SUPP009,Delay,Medium,0.04,2025-07-02,COMP0272,159 days
RISK00274,SUPP006,Delay,Low,0.81,2020-05-03,COMP0330,42 days
RISK00275,SUPP076,Shutdown,Low,0.07,2024-07-16,COMP0301,111 days
RISK00276,SUPP037,Shortage,High,0.87,2023-01-10,COMP0214,98 days
RISK00277,SUPP036,Delay,Low,0.49,2020-11-09,COMP0031,111 days
RISK00278,SUPP048,Shortage,Medium,0.54,2025-02-28,COMP0320,34 days
RISK00279,SUPP031,Delay,Low,0.15,2023-10-07,COMP0412,80 days
RISK00280,SUPP025,Shortage,Medium,0.92,2024-07-03,COMP0298,58 days
RISK00281,SUPP017,Delay,Medium,0.88,2024-02-08,COMP0385,41 days
RISK00282,SUPP060,Shutdown,High,0.65,2022-09-16,COMP0207,70 days
RISK00283,SUPP092,Shortage,Medium,0.63,2022-09-27,COMP0419,116 days
RISK00284,SUPP077,Shutdown,Medium,0.15,2023-05-14,COMP0156,6 days
RISK00285,SUPP063,Delay,High,0.26,2022-11-07,COMP0104,97 days
RISK00286,SUPP003,Shortage,High,0.26,2023-04-12,COMP0094,148 days
RISK00287,SUPP052,Shutdown,Medium,0.58,2023-08-26,COMP0352,12 days
RISK00288,SUPP022,Shortage,High,0.05,2020-09-12,COMP0169,3 days
RISK00289,SUPP039,Delay,Medium,0.09,2023-01-07,COMP0323,156 days
RISK00290,SUPP038,Delay,High,0.83,2025-12-03,COMP0432,8 days
RISK00291,SUPP014,Shortage,Medium,0.78,2023-04-25,COMP0114,93 days
RISK00292,SUPP074,Shortage,High,0.71,2023-02-26,COMP0003,152 days
RISK00293,SUPP096,Delay,High,0.85,2022-08-29,COMP0327,174 days
RISK00294,SUPP008,Delay,Low,0.75,2022-08-05,COMP0241,152 days
RISK00295,SUPP009,Delay,Low,0.45,2022-08-16,COMP0494,161 days
RISK00296,SUPP044,Delay,Medium,0.54,2023-10-09,COMP0191,47 days
RISK00297,SUPP016,Delay,Medium,0.78,2021-07-21,COMP0158,33 days
RISK00298,SUPP076,Shortage,Medium,0.64,2021-09-13,COMP0016,95 days
RISK00299,SUPP002,Shortage,Low,0.59,2020-09-11,COMP0391,87 days
RISK00300,SUPP096,Shutdown,High,0.88,2021-12-11,COMP0315,132 days
RISK00301,SUPP095,Shutdown,Low,0.71,2023-10-04,COMP0151,168 days
RISK00302,SUPP093,Delay,Low,0.54,2020-08-03,COMP0457,163 days
RISK00303,SUPP069,Delay,Medium,0.92,2025-10-01,COMP0201,101 days
RISK00304,SUPP028,Delay,Medium,0.52,2022-02-16,COMP0046,109 days
RISK00305,SUPP023,Shutdown,Low,0.95,2021-04-18,COMP0291,16 days
RISK00306,SUPP031,Shutdown,High,0.05,2021-12-11,COMP0086,24 days
RISK00307,SUPP008,Shortage,Medium,0.68,2022-07-28,COMP0111,129 days
RISK00308,SUPP010,Delay,Medium,0.6,2025-04-30,COMP0155,14 days
RISK00309,SUPP070,Delay,Low,0.03,2021-01-15,COMP0263,12 days
RISK00310,SUPP008,Delay,Low,0.23,2020-06-27,COMP0366,87 days
RISK00311,SUPP028,Delay,High,0.38,2022-10-18,COMP0010,99 days
RISK00312,SUPP055,Shortage,Low,0.16,2025-06-24,COMP0262,139 days
RISK00313,SUPP051,Delay,Low,0.71,2020-04-25,COMP0456,62 days
RISK00314,SUPP033,Shutdown,High,0.87,2024-01-14,COMP0480,75 days
RISK00315,SUPP055,Shortage,High,0.65,2021-07-23,COMP0310,25 days
RISK00316,SUPP056,Shutdown,High,0.69,2024-09-15,COMP0288,100 days
RISK00317,SUPP039,Delay,High,0.89,2025-02-16,COMP0270,170 days
RISK00318,SUPP064,Shortage,Medium,0.55,2020-09-15,COMP0310,144 days
RISK00319,SUPP040,Delay,Medium,0.21,2025-12-24,COMP0205,18 days
RISK00320,SUPP090,Delay,High,0.25,2023-11-12,COMP0100,10 days
RISK00321,SUPP096,Shortage,High,0.2,2021-01-20,COMP0077,60 days
RISK00322,SUPP051,Shortage,Medium,0.26,2022-01-02,COMP0266,62 days
RISK00323,SUPP037,Delay,Medium,0.06,2021-06-19,COMP0368,117 days
RISK00324,SUPP090,Shutdown,Low,0.76,2025-08-30,COMP0067,169 days
RISK00325,SUPP034,Shutdown,High,0.39,2022-04-10,COMP0434,27 days
RISK00326,SUPP085,Delay,Medium,0.06,2023-12-13,COMP0094,141 days
RISK00327,SUPP068,Delay,Low,0.77,2021-10-30,COMP0354,18 days
RISK00328,SUPP013,Shutdown,High,0.07,2023-04-28,COMP0401,98 days
RISK00329,SUPP009,Shutdown,Medium,0.19,2025-01-31,COMP0276,132 days
RISK00330,SUPP039,Delay,Low,0.91,2021-10-17,COMP0477,116 days
RISK00331,SUPP079,Shortage,Medium,0.3,2020-11-22,COMP0285,21 days
RISK00332,SUPP025,Shortage,Medium,0.7,2021-03-15,COMP0169,43 days
RISK00333,SUPP062,Shortage,Medium,0.33,2024-01-12,COMP0269,115 days
RISK00334,SUPP048,Delay,Medium,0.69,2021-01-07,COMP0426,108 days
RISK00335,SUPP017,Shortage,Low,0.31,2023-09-24,COMP0475,102 days
RISK00336,SUPP050,Shortage,Medium,0.65,2024-09-09,COMP0119,64 days
RISK00337,SUPP013,Shortage,Low,0.68,2025-09-13,COMP0492,151 days
