Component ID,Component Name,Function Type,Voltage Rating (V),Current Rating (A),Power Rating (W),Resistance / Capacitance / Inductance,Frequency Range,Signal Type,Tolerance (%),Accuracy (%),Efficiency (%),Operating Speed,Operating Temperature Range,Storage Temperature,Thermal Resistance (°C/W),Package Type,Dimensions (L x W x H mm),Weight (g),Mounting Type,Material Type,Conductivity (S/m),Durability,RoHS Compliance,ISO Certification,Industry Standards
COMP0140,Resistor-7396,Current Limiting / Voltage Division,530.4,2.554,314.804,100 Ω,1000 Hz – 1000 MHz,RF,10.0,94.24,93.3,72 MHz,0°C to 105°C,-40°C to 125°C,78.0,BGA-324,37.2 x 11.73 x 5.26 mm,58.3372,SMT,FR4 Laminate,7446071 S/m,High,Yes,ISO 14001:2015,AEC-Q100
COMP0438,Inductor-2229,Energy Storage / EMI Filtering,267.0,12.638,295.915,36.2 µH,10 Hz – 100 MHz,Analog,1.0,92.41,84.4,400 MHz,-55°C to 150°C,-40°C to 125°C,102.0,DIP-28,26.45 x 12.13 x 17.58 mm,64.1686,SMT,GaN,8775415 S/m,High,Yes,ISO 45001:2018,AEC-Q100
COMP0284,Sensor-6198,Signal Acquisition / Measurement,520.4,1.628,490.351,N/A,1 Hz – 100 MHz,Digital,5.0,92.16,91.2,72 MHz,0°C to 150°C,-65°C to 105°C,108.4,SMD 0805,12.76 x 18.14 x 6.13 mm,74.0336,SMT,Metal Oxide,8114413 S/m,High,Yes,ISO 14001:2015,IPC-A-610
COMP0496,Crystal-4920,Frequency Reference / Timing,482.1,13.743,305.524,N/A,1000 Hz – 10 MHz,Digital,10.0,92.57,70.9,8 MHz,-55°C to 175°C,-65°C to 150°C,54.5,SOT-223,43.53 x 13.72 x 11.67 mm,20.5983,SMT,SiC,4673324 S/m,Medium,Yes,IATF 16949,IPC-7711
COMP0382,Capacitor-4954,Energy Storage / Filtering,24.1,10.921,240.632,641.6 µF,1000 Hz – 10 MHz,Power,5.0,94.74,73.2,400 MHz,-40°C to 70°C,-40°C to 125°C,122.8,SMD 0603,3.14 x 2.94 x 3.66 mm,48.9238,SMT,FR4 Laminate,8042136 S/m,High,Yes,ISO 45001:2018,IEC 61000-4
COMP0201,Resistor-6050,Current Limiting / Voltage Division,180.7,25.888,377.57,10000 Ω,1000 Hz – 1000 MHz,Digital,5.0,91.96,76.8,1 MHz,0°C to 70°C,-55°C to 125°C,32.6,TO-220,22.64 x 19.76 x 5.46 mm,94.6481,SMT,Carbon Composition,2104524 S/m,High,No,ISO 45001:2018,MIL-STD-810
COMP0210,Resistor-3938,Current Limiting / Voltage Division,20.8,38.027,208.698,4700 Ω,1000 Hz – 100 MHz,RF,2.0,90.6,72.5,200 MHz,-55°C to 85°C,-40°C to 105°C,36.3,DIP-28,20.26 x 3.12 x 4.45 mm,10.9796,THT,FR4 Laminate,4617745 S/m,High,Yes,None,AEC-Q100
COMP0492,Transistor-9998,Switching / Amplification,403.9,34.994,489.81,N/A,10 Hz – 1000 MHz,RF,5.0,94.45,79.7,200 MHz,-55°C to 125°C,-40°C to 85°C,113.9,BGA-324,40.23 x 12.31 x 12.86 mm,11.9114,SMT,SiC,2674014 S/m,Medium,No,None,JEDEC JESD22
COMP0390,LED-4986,Visual Indication / Illumination,323.5,32.275,332.41,N/A,100 Hz – 10 MHz,Analog,0.5,92.54,94.4,72 MHz,0°C to 85°C,-55°C to 125°C,99.2,DIP-16,34.08 x 26.08 x 17.57 mm,62.0195,SMT,Electrolytic Aluminum,5141213 S/m,Medium,Yes,IATF 16949,UL 94V-0
COMP0445,LED-8438,Visual Indication / Illumination,491.8,12.244,398.966,N/A,1000 Hz – 100 MHz,Digital,10.0,99.47,82.4,200 MHz,-25°C to 175°C,-40°C to 125°C,142.3,SOT-363,44.49 x 16.66 x 13.21 mm,90.1001,Press-fit,Carbon Composition,2156905 S/m,High,Yes,ISO 9001:2015,IPC-2221
COMP0321,MOSFET-9751,Switching / Power Control,532.7,21.786,453.422,N/A,100 Hz – 10 MHz,RF,5.0,96.24,71.6,72 MHz,-40°C to 85°C,-40°C to 85°C,134.9,BGA-256,47.41 x 19.85 x 8.1 mm,19.5842,SMT,Carbon Composition,8225387 S/m,High,Yes,IATF 16949,AEC-Q200
COMP0136,IC-8956,Signal Processing / Logic,581.5,48.924,208.805,N/A,1 Hz – 100 MHz,Mixed-Signal,0.1,98.04,89.8,32 MHz,-40°C to 70°C,-65°C to 105°C,130.0,BGA-324,30.66 x 6.69 x 11.21 mm,92.1386,SMT,Silicon,2922770 S/m,High,Yes,None,MIL-STD-810
COMP0359,Resistor-7882,Current Limiting / Voltage Division,25.1,49.836,456.297,100000 Ω,10 Hz – 1 MHz,Mixed-Signal,5.0,98.74,92.7,1 MHz,-40°C to 70°C,-55°C to 125°C,79.8,DIP-16,22.69 x 27.48 x 7.24 mm,75.649,SMT,Carbon Composition,4471262 S/m,High,Yes,ISO 14001:2015,AEC-Q100
COMP0426,MOSFET-5978,Switching / Power Control,430.5,31.905,298.225,N/A,1 Hz – 100 MHz,Analog,5.0,91.57,74.2,1000 MHz,-40°C to 150°C,-65°C to 150°C,139.8,LGA-16,7.01 x 10.84 x 19.14 mm,50.4448,THT,GaN,3651932 S/m,Medium,Yes,None,UL 94V-0
COMP0339,Diode-1333,Rectification / ESD Protection,434.8,16.828,301.534,N/A,1 Hz – 10 MHz,Analog,5.0,91.24,82.3,400 MHz,-25°C to 105°C,-55°C to 150°C,58.5,DIP-8,40.06 x 0.74 x 14.2 mm,29.4178,SMT,Metal Oxide,5852451 S/m,High,Yes,ISO 45001:2018,IPC-A-610
COMP0262,Transistor-9445,Switching / Amplification,344.0,32.721,286.432,N/A,100 Hz – 1 MHz,Digital,1.0,90.27,97.1,100 MHz,-25°C to 105°C,-55°C to 105°C,55.6,TO-220,25.66 x 2.61 x 1.33 mm,75.6635,THT,Electrolytic Aluminum,4466920 S/m,Medium,Yes,IATF 16949,IPC-2221
COMP0479,Transistor-7561,Switching / Amplification,296.8,18.606,462.164,N/A,100 Hz – 100 MHz,Analog,0.5,92.17,83.0,48 MHz,-40°C to 125°C,-40°C to 150°C,92.5,SMD 0201,24.93 x 21.41 x 17.5 mm,89.2708,SMT,Metal Oxide,5474644 S/m,High,Yes,IATF 16949,IPC-2221
COMP0459,Sensor-9090,Signal Acquisition / Measurement,160.4,35.982,467.783,N/A,1000 Hz – 1000 MHz,Digital,0.5,96.77,79.9,100 MHz,0°C to 70°C,-65°C to 125°C,54.9,SOT-223,17.5 x 1.19 x 3.46 mm,45.0409,SMT,Metal Oxide,6241029 S/m,Medium,Yes,ISO 9001:2015,MIL-STD-810
COMP0467,MOSFET-1659,Switching / Power Control,465.9,7.653,244.258,N/A,1000 Hz – 1000 MHz,Mixed-Signal,0.5,98.04,97.3,72 MHz,-55°C to 175°C,-40°C to 105°C,41.8,QFP-32,45.37 x 19.22 x 1.08 mm,33.8991,SMT,GaN,5557288 S/m,Medium,Yes,None,AEC-Q200
COMP0455,Connector-3037,Signal / Power Interconnect,498.8,46.182,440.426,N/A,1 Hz – 1000 MHz,Power,10.0,92.14,80.8,1000 MHz,0°C to 175°C,-55°C to 150°C,76.6,QFP-100,41.11 x 18.5 x 15.2 mm,30.1529,Press-fit,Carbon Composition,917486 S/m,Medium,Yes,ISO 9001:2015,AEC-Q100
COMP0103,Capacitor-6539,Energy Storage / Filtering,49.3,4.441,207.213,3198.3 µF,100 Hz – 10 MHz,Analog,10.0,97.17,83.2,32 MHz,-40°C to 125°C,-40°C to 150°C,133.1,QFN-16,46.94 x 20.54 x 4.93 mm,6.8576,Press-fit,SiC,361432 S/m,Medium,No,None,UL 94V-0
COMP0280,Sensor-5082,Signal Acquisition / Measurement,211.3,33.961,493.856,N/A,1 Hz – 100 MHz,Mixed-Signal,5.0,91.97,72.3,8 MHz,-25°C to 85°C,-65°C to 85°C,24.7,TO-92,2.9 x 18.45 x 3.88 mm,67.7869,THT,Film,9404370 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0466,Crystal-5415,Frequency Reference / Timing,3.3,33.456,59.809,N/A,1000 Hz – 10 MHz,Analog,5.0,95.32,76.1,48 MHz,-25°C to 125°C,-40°C to 85°C,113.0,SOIC-16,38.76 x 13.14 x 5.04 mm,88.1971,THT,Silicon,5437232 S/m,High,Yes,ISO 14001:2015,AEC-Q100
COMP0096,Diode-9835,Rectification / ESD Protection,446.2,20.238,287.631,N/A,100 Hz – 10 MHz,RF,1.0,92.75,70.9,120 MHz,-40°C to 175°C,-65°C to 150°C,90.1,SOIC-16,20.62 x 13.44 x 15.72 mm,32.7268,SMT,Metal Film,4744241 S/m,Medium,Yes,None,MIL-STD-810
COMP0160,IC-9565,Signal Processing / Logic,234.0,22.294,226.494,N/A,100 Hz – 1000 MHz,Power,0.5,99.82,86.5,72 MHz,-40°C to 70°C,-55°C to 125°C,121.3,SOIC-8,15.89 x 4.58 x 12.34 mm,1.0247,THT,SiC,7922595 S/m,Medium,Yes,None,IPC-7711
COMP0138,IC-1960,Signal Processing / Logic,459.8,29.458,317.142,N/A,1 Hz – 1 MHz,Power,0.5,98.39,86.7,16 MHz,-40°C to 175°C,-40°C to 105°C,40.3,QFP-100,24.79 x 5.82 x 1.14 mm,46.7716,THT,FR4 Laminate,7070319 S/m,Medium,Yes,IATF 16949,IEC 61000-4
COMP0105,MOSFET-4608,Switching / Power Control,309.7,24.597,290.24,N/A,100 Hz – 1000 MHz,Power,0.5,90.51,77.7,72 MHz,-25°C to 150°C,-55°C to 125°C,101.5,SOIC-28,33.3 x 19.66 x 13.36 mm,79.0806,SMT,FR4 Laminate,5024654 S/m,Medium,Yes,ISO 45001:2018,AEC-Q200
COMP0035,Inductor-7065,Energy Storage / EMI Filtering,510.1,6.589,318.68,748.6 µH,1000 Hz – 100 MHz,Mixed-Signal,5.0,92.64,98.1,32 MHz,-40°C to 125°C,-65°C to 125°C,62.0,SOT-363,48.13 x 10.85 x 17.67 mm,79.9638,THT,Silicon,615456 S/m,High,No,None,IPC-7711
COMP0227,Capacitor-5279,Energy Storage / Filtering,151.4,35.768,459.638,645.3 µF,10 Hz – 100 MHz,Analog,10.0,95.74,86.6,200 MHz,-25°C to 175°C,-40°C to 85°C,120.8,SOIC-16,19.02 x 3.31 x 4.55 mm,87.9125,SMT,GaN,497571 S/m,High,Yes,ISO 14001:2015,MIL-STD-810
COMP0427,Capacitor-5066,Energy Storage / Filtering,112.9,28.133,460.409,2236.3 µF,1000 Hz – 1000 MHz,Digital,0.5,98.53,89.5,1 MHz,-25°C to 85°C,-65°C to 105°C,82.4,SMD 0201,20.41 x 27.63 x 14.91 mm,50.5412,SMT,FR4 Laminate,433134 S/m,High,Yes,ISO 9001:2015,UL 94V-0
COMP0137,Connector-4502,Signal / Power Interconnect,210.9,45.009,396.294,N/A,100 Hz – 1000 MHz,Mixed-Signal,5.0,95.98,79.7,16 MHz,0°C to 70°C,-40°C to 105°C,53.0,BGA-256,21.75 x 28.74 x 16.06 mm,21.5577,SMT,Film,448427 S/m,Low,Yes,IATF 16949,IPC-2221
COMP0375,Connector-6325,Signal / Power Interconnect,538.3,35.978,237.051,N/A,1 Hz – 1000 MHz,Analog,0.1,95.95,74.4,16 MHz,-55°C to 125°C,-40°C to 150°C,43.5,QFN-32,46.83 x 24.75 x 2.29 mm,99.8343,THT,Electrolytic Aluminum,438228 S/m,High,Yes,IATF 16949,AEC-Q100
COMP0128,Inductor-7912,Energy Storage / EMI Filtering,480.3,8.982,327.496,351.5 µH,1 Hz – 10 MHz,Digital,0.5,94.01,96.2,72 MHz,-25°C to 150°C,-65°C to 150°C,114.5,SOT-363,22.96 x 10.15 x 3.08 mm,45.6908,THT,Silicon,6744847 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0233,Capacitor-7311,Energy Storage / Filtering,434.9,5.638,202.311,4512.8 µF,1000 Hz – 1000 MHz,Analog,2.0,95.78,79.3,8 MHz,-55°C to 85°C,-65°C to 85°C,127.5,SOIC-28,43.54 x 18.09 x 16.22 mm,97.1839,SMT,Film,5743922 S/m,High,Yes,ISO 14001:2015,IPC-A-610
COMP0323,MOSFET-1444,Switching / Power Control,519.3,13.633,284.563,N/A,100 Hz – 1 MHz,RF,1.0,94.73,71.6,120 MHz,-25°C to 85°C,-65°C to 85°C,106.1,SOT-223,2.09 x 8.36 x 7.98 mm,26.5074,Press-fit,Metal Film,7841429 S/m,Medium,Yes,ISO 9001:2015,IPC-A-610
COMP0074,LED-5315,Visual Indication / Illumination,432.9,15.23,456.858,N/A,1 Hz – 100 MHz,Mixed-Signal,5.0,95.04,92.6,8 MHz,-55°C to 150°C,-65°C to 105°C,43.0,QFN-16,18.57 x 7.66 x 19.61 mm,20.3091,THT,Silicon,3157776 S/m,Medium,Yes,ISO 45001:2018,JEDEC JESD22
COMP0239,Microcontroller-8066,Processing / Control,420.9,2.648,373.292,N/A,100 Hz – 1 MHz,RF,1.0,92.33,96.9,1 MHz,-40°C to 70°C,-55°C to 85°C,124.4,DIP-28,13.84 x 2.13 x 16.4 mm,34.1016,Press-fit,Carbon Composition,1697000 S/m,Low,Yes,ISO 14001:2015,JEDEC JESD22
COMP0472,Crystal-9056,Frequency Reference / Timing,546.9,40.988,423.455,N/A,1 Hz – 1000 MHz,Power,1.0,93.8,73.1,100 MHz,0°C to 105°C,-65°C to 125°C,90.8,QFP-32,47.62 x 7.33 x 13.82 mm,56.2809,SMT,Ceramic,9810336 S/m,Medium,Yes,None,IEC 61000-4
COMP0397,Transistor-4777,Switching / Amplification,228.2,38.454,256.761,N/A,1 Hz – 1000 MHz,Power,0.5,99.94,80.9,1000 MHz,0°C to 70°C,-40°C to 125°C,108.5,SMD 0402,19.59 x 21.21 x 16.05 mm,29.6022,SMT,Electrolytic Aluminum,9791190 S/m,High,Yes,ISO 45001:2018,IPC-2221
COMP0011,Sensor-4257,Signal Acquisition / Measurement,399.0,42.625,497.141,N/A,100 Hz – 1 MHz,Power,1.0,93.92,95.2,120 MHz,-25°C to 125°C,-65°C to 105°C,67.8,BGA-144,33.25 x 5.06 x 0.62 mm,12.8679,Press-fit,SiC,7876571 S/m,Medium,Yes,None,IPC-7711
COMP0263,Crystal-6491,Frequency Reference / Timing,516.7,0.999,235.262,N/A,10 Hz – 1000 MHz,Analog,5.0,96.49,87.1,400 MHz,-55°C to 150°C,-65°C to 150°C,7.8,LGA-16,10.22 x 4.34 x 13.84 mm,66.6775,SMT,Silicon,3447913 S/m,Medium,Yes,None,IPC-2221
COMP0239,Microcontroller-8066,Processing / Control,494.3,42.557,435.468,N/A,1 Hz – 100 MHz,Power,2.0,91.34,81.2,16 MHz,-55°C to 70°C,-40°C to 125°C,64.3,BGA-324,38.76 x 18.12 x 8.08 mm,43.402,SMT,FR4 Laminate,2023601 S/m,High,Yes,IATF 16949,IEC 61000-4
COMP0304,Sensor-8633,Signal Acquisition / Measurement,490.8,7.466,306.23,N/A,1 Hz – 10 MHz,Mixed-Signal,2.0,92.4,96.9,400 MHz,0°C to 105°C,-40°C to 105°C,53.1,SMD 0402,25.05 x 3.44 x 9.39 mm,26.5691,Press-fit,Metal Film,4161237 S/m,Medium,Yes,ISO 9001:2015,UL 94V-0
COMP0067,Sensor-1188,Signal Acquisition / Measurement,439.0,24.504,348.991,N/A,1000 Hz – 100 MHz,RF,2.0,96.07,80.8,400 MHz,-25°C to 175°C,-40°C to 125°C,32.8,SOT-223,18.96 x 18.25 x 11.85 mm,75.1728,THT,GaN,1446809 S/m,High,Yes,ISO 14001:2015,IPC-A-610
COMP0357,Capacitor-9289,Energy Storage / Filtering,229.1,12.709,392.124,578.6 µF,1000 Hz – 1000 MHz,Analog,5.0,90.89,82.2,400 MHz,-40°C to 85°C,-55°C to 105°C,101.9,SOT-23,31.54 x 7.59 x 11.15 mm,55.6816,SMT,GaN,6414300 S/m,Medium,Yes,IATF 16949,AEC-Q200
COMP0119,Microcontroller-7939,Processing / Control,142.6,42.155,253.381,N/A,10 Hz – 1 MHz,Digital,5.0,96.75,92.5,120 MHz,-25°C to 125°C,-40°C to 85°C,17.5,QFP-100,8.3 x 17.85 x 13.32 mm,19.6976,Press-fit,GaN,1223083 S/m,High,No,ISO 14001:2015,MIL-STD-810
COMP0297,Sensor-2320,Signal Acquisition / Measurement,134.0,22.025,338.027,N/A,1000 Hz – 100 MHz,Analog,0.5,95.67,78.0,120 MHz,-25°C to 175°C,-40°C to 85°C,47.8,QFP-32,34.79 x 15.0 x 9.7 mm,84.5033,SMT,FR4 Laminate,3007255 S/m,High,Yes,ISO 45001:2018,JEDEC JESD22
COMP0155,Crystal-4853,Frequency Reference / Timing,385.1,10.321,274.291,N/A,1 Hz – 1 MHz,Mixed-Signal,2.0,93.51,94.9,16 MHz,0°C to 85°C,-65°C to 125°C,77.6,DIP-28,39.47 x 11.6 x 14.07 mm,37.3166,Press-fit,GaN,9918121 S/m,High,Yes,ISO 14001:2015,JEDEC JESD22
COMP0296,Microcontroller-6238,Processing / Control,61.9,26.793,466.974,N/A,1000 Hz – 1 MHz,Power,5.0,93.15,70.5,400 MHz,-25°C to 85°C,-40°C to 125°C,40.3,SMD 0805,3.49 x 21.59 x 0.41 mm,14.5915,SMT,Carbon Composition,4739959 S/m,Medium,Yes,None,MIL-STD-810
COMP0059,Connector-2489,Signal / Power Interconnect,552.6,0.071,35.722,N/A,1 Hz – 1000 MHz,Power,5.0,96.41,76.2,16 MHz,-40°C to 105°C,-55°C to 125°C,31.9,TO-92,39.93 x 26.67 x 1.64 mm,8.9162,Press-fit,FR4 Laminate,376800 S/m,High,Yes,IATF 16949,IPC-A-610
COMP0330,Microcontroller-7211,Processing / Control,57.1,48.884,323.611,N/A,10 Hz – 1000 MHz,Digital,1.0,98.31,79.7,72 MHz,-25°C to 125°C,-65°C to 85°C,136.8,SMD 0805,41.61 x 10.45 x 5.09 mm,38.9392,Press-fit,Electrolytic Aluminum,1441716 S/m,High,Yes,IATF 16949,IEC 61000-4
COMP0385,LED-8800,Visual Indication / Illumination,267.9,33.321,268.722,N/A,1000 Hz – 1000 MHz,Analog,5.0,99.25,94.2,48 MHz,0°C to 175°C,-65°C to 85°C,62.9,QFN-32,39.67 x 27.81 x 10.56 mm,98.5283,SMT,FR4 Laminate,5781320 S/m,Medium,Yes,ISO 14001:2015,AEC-Q200
COMP0069,Crystal-9797,Frequency Reference / Timing,46.4,31.621,421.442,N/A,10 Hz – 1 MHz,Digital,0.5,92.91,73.1,72 MHz,0°C to 70°C,-55°C to 85°C,135.9,TO-220,22.09 x 20.03 x 1.81 mm,73.1935,SMT,Metal Oxide,1219342 S/m,High,Yes,IATF 16949,AEC-Q200
COMP0375,Connector-6325,Signal / Power Interconnect,482.5,7.025,302.163,N/A,1 Hz – 100 MHz,RF,10.0,97.58,79.3,8 MHz,0°C to 175°C,-40°C to 85°C,100.2,DIP-28,23.94 x 5.36 x 1.28 mm,32.92,Press-fit,Metal Oxide,5926895 S/m,High,Yes,ISO 9001:2015,IEC 61000-4
COMP0334,LED-9837,Visual Indication / Illumination,171.2,28.522,473.147,N/A,100 Hz – 1 MHz,Mixed-Signal,0.1,92.84,91.8,32 MHz,-25°C to 175°C,-40°C to 150°C,135.2,BGA-144,9.88 x 3.89 x 17.11 mm,41.2194,THT,Silicon,9057742 S/m,Medium,Yes,ISO 9001:2015,IEC 61000-4
COMP0231,Microcontroller-6139,Processing / Control,182.4,2.149,168.936,N/A,100 Hz – 100 MHz,RF,5.0,99.79,84.9,200 MHz,0°C to 125°C,-55°C to 125°C,81.8,DIP-16,27.35 x 14.06 x 18.8 mm,59.9862,THT,SiC,4571164 S/m,Medium,No,ISO 9001:2015,IPC-7711
COMP0160,IC-9565,Signal Processing / Logic,574.0,34.693,373.014,N/A,100 Hz – 10 MHz,Digital,10.0,91.14,89.0,8 MHz,-55°C to 85°C,-65°C to 125°C,132.5,SOT-23,5.57 x 12.26 x 17.57 mm,76.7505,THT,Metal Oxide,1831125 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0076,Sensor-2743,Signal Acquisition / Measurement,529.1,43.837,476.341,N/A,1000 Hz – 10 MHz,RF,2.0,98.33,88.3,16 MHz,-55°C to 85°C,-55°C to 105°C,140.6,QFN-16,44.12 x 5.02 x 10.78 mm,44.1017,SMT,FR4 Laminate,4741395 S/m,High,Yes,None,JEDEC JESD22
COMP0334,LED-9837,Visual Indication / Illumination,595.7,46.683,398.203,N/A,1000 Hz – 1000 MHz,RF,2.0,93.02,98.2,120 MHz,0°C to 85°C,-65°C to 85°C,67.6,TO-220,9.33 x 8.98 x 13.79 mm,2.0474,THT,Silicon,8824815 S/m,High,Yes,None,IPC-2221
COMP0495,Capacitor-1472,Energy Storage / Filtering,550.5,14.184,338.586,4580.7 µF,100 Hz – 100 MHz,Digital,2.0,93.46,95.7,100 MHz,-40°C to 150°C,-65°C to 150°C,149.7,SOIC-16,37.75 x 28.62 x 14.22 mm,23.3941,SMT,GaN,6993461 S/m,High,Yes,None,MIL-STD-810
COMP0408,Microcontroller-3939,Processing / Control,556.9,28.828,472.351,N/A,10 Hz – 10 MHz,RF,5.0,96.5,85.0,120 MHz,-55°C to 105°C,-65°C to 105°C,53.2,TSSOP-20,23.1 x 19.62 x 1.67 mm,61.42,SMT,Carbon Composition,2353411 S/m,Medium,Yes,None,MIL-STD-810
COMP0346,MOSFET-2876,Switching / Power Control,50.2,9.559,263.765,N/A,1000 Hz – 1 MHz,Mixed-Signal,0.1,98.14,98.5,1000 MHz,-55°C to 125°C,-55°C to 125°C,1.4,QFP-100,27.8 x 23.3 x 6.02 mm,28.256,SMT,Carbon Composition,6119948 S/m,Low,Yes,ISO 45001:2018,IPC-2221
COMP0194,Sensor-8007,Signal Acquisition / Measurement,303.6,35.218,324.381,N/A,1 Hz – 10 MHz,Power,0.1,98.11,96.4,72 MHz,-55°C to 150°C,-55°C to 125°C,111.1,SOT-363,37.54 x 5.14 x 7.48 mm,33.2818,SMT,Film,8171500 S/m,Medium,Yes,ISO 45001:2018,IEC 61000-4
COMP0180,Inductor-5333,Energy Storage / EMI Filtering,177.8,29.092,262.451,688.8 µH,1 Hz – 1 MHz,Analog,5.0,94.1,79.0,8 MHz,-40°C to 125°C,-65°C to 150°C,113.6,DIP-28,30.47 x 28.3 x 6.77 mm,3.0448,SMT,FR4 Laminate,2374273 S/m,Low,Yes,ISO 14001:2015,JEDEC JESD22
COMP0134,Resistor-2528,Current Limiting / Voltage Division,82.1,43.309,346.059,100000 Ω,1000 Hz – 1 MHz,Digital,10.0,91.72,88.4,200 MHz,-55°C to 85°C,-40°C to 85°C,66.5,LGA-64,39.73 x 15.93 x 12.48 mm,72.5483,THT,GaN,9445395 S/m,High,Yes,ISO 45001:2018,MIL-STD-810
COMP0489,MOSFET-9167,Switching / Power Control,493.0,3.531,248.369,N/A,100 Hz – 1000 MHz,Digital,2.0,98.9,76.3,8 MHz,-25°C to 150°C,-65°C to 105°C,148.6,SMD 0805,44.93 x 29.89 x 10.13 mm,16.1982,THT,Silicon,8164296 S/m,Medium,Yes,None,AEC-Q100
COMP0345,Microcontroller-3749,Processing / Control,498.6,1.339,444.212,N/A,1 Hz – 1 MHz,Digital,10.0,94.17,85.9,72 MHz,-55°C to 175°C,-65°C to 85°C,19.8,QFP-64,8.08 x 2.55 x 5.13 mm,54.3978,SMT,Silicon,1348025 S/m,High,Yes,IATF 16949,UL 94V-0
COMP0241,MOSFET-6143,Switching / Power Control,320.6,32.077,389.701,N/A,10 Hz – 1 MHz,Mixed-Signal,5.0,96.06,83.9,1 MHz,-40°C to 175°C,-65°C to 85°C,42.4,BGA-324,15.91 x 15.02 x 4.34 mm,20.4939,SMT,Electrolytic Aluminum,1045631 S/m,High,Yes,ISO 9001:2015,IPC-A-610
