Supplier ID,Component ID,Past Risk Events,Failure Frequency (occurrences/year),Downtime Duration,Recovery Time,Risk Outcome (Success/Failure)
SUPP076,COMP0021,Quality defect — batch recall issued,8.3,255 days,148 days,Success
SUPP071,COMP0270,Delivery delay due to port congestion,3.73,334 days,314 days,Success
SUPP050,COMP0314,Supply shortage due to factory fire,4.24,154 days,123 days,Failure
SUPP088,COMP0155,Quality defect — batch recall issued,11.59,192 days,78 days,Success
SUPP043,COMP0007,Quality defect — batch recall issued,3.47,332 days,312 days,Failure
SUPP075,COMP0066,Supplier financial instability,10.58,354 days,214 days,Success
SUPP049,COMP0304,Delivery delay due to port congestion,8.24,241 days,73 days,Failure
SUPP002,COMP0187,Natural disaster impact on fab,6.04,143 days,51 days,Failure
SUPP043,COMP0194,Quality defect — batch recall issued,9.41,361 days,243 days,Failure
SUPP005,COMP0417,Counterfeit component detection,0.09,329 days,135 days,Success
SUPP027,COMP0098,Logistics disruption — carrier strike,3.08,154 days,16 days,Success
SUPP074,COMP0336,Pandemic-related facility shutdown,9.45,148 days,68 days,Success
SUPP040,COMP0073,Pandemic-related facility shutdown,9.3,327 days,262 days,Success
SUPP092,COMP0416,Supply shortage due to factory fire,10.55,68 days,51 days,Success
SUPP012,COMP0176,Export control regulation change,10.55,310 days,35 days,Failure
SUPP091,COMP0222,Raw material scarcity — price surge,1.74,333 days,54 days,Success
SUPP043,COMP0195,Wafer fab yield drop below threshold,2.58,16 days,13 days,Success
SUPP012,COMP0385,Supplier financial instability,3.34,162 days,107 days,Success
SUPP002,COMP0319,Wafer fab yield drop below threshold,7.27,76 days,61 days,Success
SUPP042,COMP0336,Natural disaster impact on fab,10.92,51 days,51 days,Success
SUPP086,COMP0495,Quality defect — batch recall issued,8.1,152 days,116 days,Success
SUPP065,COMP0454,Natural disaster impact on fab,8.82,148 days,140 days,Success
SUPP036,COMP0065,Sudden capacity reduction by supplier,7.09,35 days,17 days,Success
SUPP027,COMP0004,Quality defect — batch recall issued,1.67,40 days,16 days,Success
SUPP060,COMP0001,Natural disaster impact on fab,5.3,79 days,53 days,Success
SUPP077,COMP0277,Raw material scarcity — price surge,1.36,87 days,83 days,Success
SUPP004,COMP0122,Quality defect — batch recall issued,2.5,165 days,34 days,Success
SUPP088,COMP0266,Raw material scarcity — price surge,3.38,151 days,76 days,Success
SUPP034,COMP0061,Supplier financial instability,9.19,156 days,104 days,Success
SUPP018,COMP0373,Supplier financial instability,5.13,140 days,104 days,Success
SUPP078,COMP0444,Wafer fab yield drop below threshold,2.12,16 days,16 days,Success
SUPP044,COMP0375,Logistics disruption — carrier strike,5.39,112 days,70 days,Success
SUPP087,COMP0496,Component discontinuation announcement,11.12,124 days,71 days,Success
SUPP023,COMP0332,Natural disaster impact on fab,11.71,277 days,10 days,Success
SUPP010,COMP0225,Supply shortage due to factory fire,6.72,196 days,139 days,Success
SUPP034,COMP0237,Sudden capacity reduction by supplier,4.95,142 days,44 days,Success
SUPP025,COMP0476,Quality defect — batch recall issued,9.09,353 days,92 days,Success
SUPP053,COMP0496,Supplier financial instability,4.33,146 days,58 days,Failure
SUPP007,COMP0056,Wafer fab yield drop below threshold,3.71,220 days,52 days,Success
SUPP083,COMP0097,Raw material scarcity — price surge,3.53,306 days,39 days,Success
SUPP093,COMP0150,Geopolitical trade restriction imposed,3.53,23 days,3 days,Success
SUPP048,COMP0205,Component discontinuation announcement,5.26,192 days,126 days,Failure
SUPP048,COMP0349,Pandemic-related facility shutdown,2.63,23 days,14 days,Success
SUPP084,COMP0261,Wafer fab yield drop below threshold,1.99,284 days,188 days,Failure
SUPP039,COMP0217,Sudden capacity reduction by supplier,3.56,18 days,4 days,Failure
SUPP071,COMP0338,Natural disaster impact on fab,1.0,322 days,322 days,Failure
SUPP096,COMP0121,Quality defect — batch recall issued,0.18,147 days,30 days,Success
SUPP024,COMP0499,Wafer fab yield drop below threshold,7.19,111 days,79 days,Failure
SUPP096,COMP0413,Counterfeit component detection,10.23,130 days,69 days,Success
SUPP042,COMP0061,Component discontinuation announcement,3.39,268 days,192 days,Success
SUPP001,COMP0282,Wafer fab yield drop below threshold,11.79,273 days,114 days,Success
SUPP041,COMP0499,Pandemic-related facility shutdown,2.28,238 days,71 days,Failure
SUPP067,COMP0172,Pandemic-related facility shutdown,10.92,267 days,186 days,Success
SUPP051,COMP0411,Supply shortage due to factory fire,2.47,251 days,150 days,Success
SUPP013,COMP0037,Delivery delay due to port congestion,9.2,289 days,20 days,Failure
SUPP047,COMP0271,Logistics disruption — carrier strike,7.99,136 days,73 days,Failure
SUPP016,COMP0239,Natural disaster impact on fab,9.72,186 days,81 days,Success
SUPP080,COMP0384,Supply shortage due to factory fire,11.51,49 days,38 days,Success
SUPP094,COMP0116,Geopolitical trade restriction imposed,6.67,364 days,305 days,Failure
SUPP023,COMP0378,Natural disaster impact on fab,1.05,203 days,41 days,Success
SUPP087,COMP0062,Supplier financial instability,9.15,325 days,106 days,Success
SUPP050,COMP0321,Pandemic-related facility shutdown,11.13,331 days,189 days,Failure
SUPP026,COMP0297,Geopolitical trade restriction imposed,5.52,165 days,2 days,Failure
SUPP087,COMP0158,Component discontinuation announcement,2.0,163 days,115 days,Failure
SUPP055,COMP0088,Export control regulation change,9.89,36 days,24 days,Success
SUPP058,COMP0457,Quality defect — batch recall issued,9.05,32 days,30 days,Failure
SUPP075,COMP0047,Delivery delay due to port congestion,8.72,95 days,1 days,Success
SUPP079,COMP0150,Quality defect — batch recall issued,4.63,239 days,211 days,Failure
SUPP076,COMP0365,Delivery delay due to port congestion,11.79,21 days,2 days,Success
SUPP059,COMP0467,Counterfeit component detection,5.78,44 days,37 days,Success
SUPP080,COMP0157,Export control regulation change,5.13,268 days,172 days,Success
SUPP063,COMP0025,Export control regulation change,6.04,243 days,135 days,Success
SUPP054,COMP0079,Pandemic-related facility shutdown,0.44,264 days,261 days,Success
SUPP072,COMP0430,Raw material scarcity — price surge,0.93,118 days,19 days,Failure
SUPP053,COMP0271,Wafer fab yield drop below threshold,8.32,287 days,211 days,Success
SUPP066,COMP0024,Supplier financial instability,4.63,334 days,62 days,Success
SUPP019,COMP0184,Sudden capacity reduction by supplier,5.72,129 days,20 days,Failure
SUPP083,COMP0132,Wafer fab yield drop below threshold,9.9,330 days,31 days,Success
SUPP083,COMP0465,Supplier financial instability,1.99,57 days,48 days,Failure
SUPP043,COMP0098,Geopolitical trade restriction imposed,7.83,66 days,43 days,Failure
SUPP019,COMP0108,Pandemic-related facility shutdown,9.3,330 days,110 days,Success
SUPP078,COMP0088,Pandemic-related facility shutdown,6.13,251 days,109 days,Success
SUPP048,COMP0467,Wafer fab yield drop below threshold,4.5,179 days,28 days,Success
SUPP052,COMP0307,Quality defect — batch recall issued,4.76,118 days,14 days,Success
SUPP090,COMP0383,Logistics disruption — carrier strike,5.72,95 days,86 days,Success
SUPP007,COMP0161,Supply shortage due to factory fire,8.31,275 days,242 days,Success
SUPP020,COMP0248,Geopolitical trade restriction imposed,7.7,190 days,59 days,Success
SUPP070,COMP0171,Sudden capacity reduction by supplier,1.38,269 days,26 days,Success
SUPP056,COMP0352,Delivery delay due to port congestion,4.88,186 days,170 days,Success
SUPP076,COMP0007,Component discontinuation announcement,11.6,142 days,70 days,Success
SUPP031,COMP0062,Logistics disruption — carrier strike,4.78,234 days,99 days,Success
SUPP021,COMP0309,Component discontinuation announcement,1.52,25 days,6 days,Failure
SUPP083,COMP0497,Logistics disruption — carrier strike,2.64,207 days,37 days,Failure
SUPP081,COMP0408,Supplier financial instability,4.98,194 days,1 days,Failure
SUPP097,COMP0153,Supplier financial instability,10.85,108 days,45 days,Success
SUPP044,COMP0009,Natural disaster impact on fab,5.85,165 days,7 days,Success
SUPP033,COMP0059,Geopolitical trade restriction imposed,10.27,135 days,55 days,Failure
SUPP034,COMP0075,Geopolitical trade restriction imposed,10.8,142 days,133 days,Success
SUPP002,COMP0163,Wafer fab yield drop below threshold,0.27,128 days,72 days,Success
SUPP035,COMP0408,Natural disaster impact on fab,1.79,65 days,61 days,Success
SUPP001,COMP0200,Delivery delay due to port congestion,11.53,108 days,52 days,Failure
SUPP047,COMP0003,Counterfeit component detection,8.31,93 days,82 days,Success
SUPP051,COMP0017,Pandemic-related facility shutdown,5.56,127 days,19 days,Success
SUPP036,COMP0270,Sudden capacity reduction by supplier,8.11,236 days,138 days,Success
SUPP065,COMP0482,Geopolitical trade restriction imposed,2.59,9 days,6 days,Success
SUPP079,COMP0305,Geopolitical trade restriction imposed,7.18,16 days,6 days,Failure
SUPP009,COMP0236,Logistics disruption — carrier strike,7.34,114 days,33 days,Failure
SUPP062,COMP0385,Quality defect — batch recall issued,5.24,292 days,71 days,Failure
SUPP040,COMP0204,Wafer fab yield drop below threshold,1.92,224 days,46 days,Failure
SUPP083,COMP0368,Wafer fab yield drop below threshold,2.35,306 days,22 days,Success
SUPP055,COMP0008,Supply shortage due to factory fire,7.45,350 days,339 days,Failure
SUPP010,COMP0232,Delivery delay due to port congestion,1.13,116 days,115 days,Success
SUPP030,COMP0264,Supplier financial instability,10.14,156 days,153 days,Success
SUPP052,COMP0306,Raw material scarcity — price surge,0.77,98 days,10 days,Failure
SUPP037,COMP0264,Supplier financial instability,9.05,179 days,156 days,Success
SUPP005,COMP0398,Export control regulation change,0.29,126 days,57 days,Failure
SUPP054,COMP0326,Supplier financial instability,7.5,92 days,10 days,Success
SUPP019,COMP0001,Geopolitical trade restriction imposed,3.42,182 days,74 days,Failure
SUPP023,COMP0014,Quality defect — batch recall issued,8.64,274 days,62 days,Success
SUPP041,COMP0381,Sudden capacity reduction by supplier,0.63,46 days,44 days,Success
SUPP009,COMP0243,Wafer fab yield drop below threshold,5.21,237 days,141 days,Failure
SUPP008,COMP0488,Logistics disruption — carrier strike,9.57,186 days,122 days,Success
SUPP006,COMP0114,Supplier financial instability,2.41,58 days,45 days,Success
SUPP089,COMP0025,Quality defect — batch recall issued,2.47,80 days,75 days,Success
SUPP087,COMP0019,Pandemic-related facility shutdown,5.14,246 days,49 days,Success
SUPP017,COMP0305,Counterfeit component detection,9.08,6 days,3 days,Success
SUPP004,COMP0216,Wafer fab yield drop below threshold,4.73,80 days,11 days,Success
SUPP042,COMP0060,Wafer fab yield drop below threshold,6.06,164 days,106 days,Success
SUPP054,COMP0182,Supplier financial instability,4.15,308 days,48 days,Success
SUPP056,COMP0429,Wafer fab yield drop below threshold,4.58,77 days,22 days,Success
SUPP070,COMP0376,Sudden capacity reduction by supplier,8.62,67 days,7 days,Success
SUPP074,COMP0090,Wafer fab yield drop below threshold,10.15,191 days,109 days,Success
SUPP084,COMP0109,Supply shortage due to factory fire,6.32,32 days,11 days,Success
SUPP044,COMP0357,Raw material scarcity — price surge,1.87,362 days,106 days,Success
SUPP043,COMP0450,Delivery delay due to port congestion,0.36,27 days,10 days,Success
SUPP025,COMP0065,Pandemic-related facility shutdown,3.56,247 days,168 days,Failure
SUPP037,COMP0411,Sudden capacity reduction by supplier,9.38,232 days,193 days,Success
SUPP021,COMP0347,Component discontinuation announcement,8.83,169 days,38 days,Success
SUPP091,COMP0365,Supply shortage due to factory fire,3.59,94 days,52 days,Failure
SUPP063,COMP0418,Pandemic-related facility shutdown,2.72,128 days,66 days,Failure
SUPP078,COMP0175,Raw material scarcity — price surge,5.19,43 days,29 days,Failure
SUPP082,COMP0175,Natural disaster impact on fab,7.09,309 days,7 days,Success
SUPP015,COMP0059,Logistics disruption — carrier strike,11.56,228 days,176 days,Failure
SUPP083,COMP0445,Logistics disruption — carrier strike,5.5,212 days,148 days,Failure
SUPP077,COMP0295,Sudden capacity reduction by supplier,6.07,316 days,110 days,Success
SUPP066,COMP0175,Sudden capacity reduction by supplier,11.98,321 days,258 days,Success
SUPP027,COMP0180,Natural disaster impact on fab,4.46,302 days,166 days,Success
SUPP021,COMP0460,Component discontinuation announcement,11.69,284 days,107 days,Failure
SUPP087,COMP0094,Export control regulation change,11.56,66 days,56 days,Failure
SUPP041,COMP0125,Logistics disruption — carrier strike,2.36,292 days,277 days,Success
SUPP099,COMP0043,Component discontinuation announcement,10.46,359 days,99 days,Failure
SUPP054,COMP0480,Sudden capacity reduction by supplier,9.73,344 days,88 days,Failure
SUPP045,COMP0026,Component discontinuation announcement,7.94,361 days,87 days,Success
SUPP098,COMP0366,Delivery delay due to port congestion,0.63,40 days,21 days,Success
SUPP028,COMP0001,Raw material scarcity — price surge,2.04,184 days,143 days,Success
SUPP045,COMP0426,Logistics disruption — carrier strike,2.53,117 days,60 days,Failure
SUPP029,COMP0194,Geopolitical trade restriction imposed,3.71,309 days,237 days,Success
SUPP053,COMP0139,Natural disaster impact on fab,1.68,26 days,9 days,Success
SUPP004,COMP0083,Wafer fab yield drop below threshold,1.83,74 days,58 days,Success
SUPP005,COMP0302,Export control regulation change,10.09,332 days,176 days,Success
SUPP064,COMP0004,Quality defect — batch recall issued,10.28,349 days,14 days,Success
SUPP066,COMP0425,Natural disaster impact on fab,11.31,222 days,201 days,Failure
SUPP094,COMP0419,Natural disaster impact on fab,5.59,227 days,224 days,Failure
SUPP001,COMP0457,Quality defect — batch recall issued,2.83,145 days,110 days,Success
SUPP078,COMP0031,Delivery delay due to port congestion,7.23,353 days,270 days,Success
SUPP007,COMP0492,Delivery delay due to port congestion,9.1,55 days,52 days,Failure
SUPP100,COMP0183,Raw material scarcity — price surge,2.96,89 days,81 days,Success
SUPP001,COMP0374,Supplier financial instability,4.25,4 days,2 days,Success
SUPP037,COMP0093,Component discontinuation announcement,3.35,247 days,185 days,Success
SUPP061,COMP0283,Raw material scarcity — price surge,7.67,338 days,144 days,Success
SUPP023,COMP0077,Delivery delay due to port congestion,8.49,141 days,41 days,Success
SUPP059,COMP0066,Natural disaster impact on fab,7.76,156 days,107 days,Success
SUPP088,COMP0150,Raw material scarcity — price surge,9.88,85 days,60 days,Failure
SUPP051,COMP0094,Sudden capacity reduction by supplier,1.73,345 days,222 days,Success
SUPP094,COMP0013,Counterfeit component detection,5.46,298 days,106 days,Success
SUPP039,COMP0453,Delivery delay due to port congestion,10.77,365 days,299 days,Success
SUPP090,COMP0364,Logistics disruption — carrier strike,7.0,166 days,15 days,Failure
SUPP061,COMP0390,Supply shortage due to factory fire,0.23,259 days,33 days,Failure
SUPP058,COMP0434,Logistics disruption — carrier strike,8.33,330 days,28 days,Failure
SUPP087,COMP0164,Sudden capacity reduction by supplier,0.05,190 days,135 days,Failure
SUPP096,COMP0434,Natural disaster impact on fab,2.12,241 days,77 days,Success
SUPP017,COMP0433,Quality defect — batch recall issued,4.77,76 days,15 days,Failure
SUPP043,COMP0207,Supplier financial instability,9.73,5 days,2 days,Success
SUPP075,COMP0345,Pandemic-related facility shutdown,0.89,158 days,2 days,Failure
SUPP062,COMP0314,Natural disaster impact on fab,8.28,334 days,306 days,Failure
SUPP046,COMP0383,Geopolitical trade restriction imposed,0.25,143 days,105 days,Failure
SUPP015,COMP0051,Sudden capacity reduction by supplier,9.98,269 days,131 days,Failure
SUPP071,COMP0273,Component discontinuation announcement,3.49,322 days,136 days,Success
SUPP087,COMP0377,Pandemic-related facility shutdown,1.68,145 days,139 days,Success
SUPP052,COMP0074,Export control regulation change,9.8,318 days,133 days,Failure
SUPP060,COMP0323,Supplier financial instability,2.83,290 days,131 days,Failure
SUPP081,COMP0111,Delivery delay due to port congestion,10.93,315 days,41 days,Success
SUPP042,COMP0137,Supply shortage due to factory fire,0.51,49 days,47 days,Failure
SUPP012,COMP0238,Wafer fab yield drop below threshold,2.81,245 days,226 days,Failure
SUPP024,COMP0111,Component discontinuation announcement,1.01,46 days,37 days,Failure
SUPP032,COMP0112,Component discontinuation announcement,8.55,214 days,188 days,Success
SUPP061,COMP0287,Counterfeit component detection,5.91,200 days,97 days,Success
SUPP050,COMP0281,Supplier financial instability,3.05,22 days,21 days,Success
SUPP069,COMP0159,Natural disaster impact on fab,3.85,32 days,15 days,Failure
SUPP049,COMP0496,Supplier financial instability,11.46,140 days,116 days,Success
SUPP063,COMP0062,Sudden capacity reduction by supplier,6.63,182 days,1 days,Success
SUPP023,COMP0185,Logistics disruption — carrier strike,1.27,215 days,153 days,Success
SUPP044,COMP0401,Natural disaster impact on fab,3.06,272 days,108 days,Success
SUPP076,COMP0061,Counterfeit component detection,1.86,188 days,49 days,Success
SUPP038,COMP0190,Quality defect — batch recall issued,3.6,192 days,31 days,Success
SUPP076,COMP0078,Counterfeit component detection,9.27,196 days,71 days,Success
SUPP060,COMP0176,Geopolitical trade restriction imposed,4.37,25 days,7 days,Success
SUPP037,COMP0187,Component discontinuation announcement,1.43,13 days,7 days,Success
SUPP032,COMP0382,Supply shortage due to factory fire,0.66,56 days,44 days,Success
SUPP054,COMP0006,Geopolitical trade restriction imposed,9.08,269 days,254 days,Failure
SUPP043,COMP0154,Supplier financial instability,4.88,2 days,2 days,Success
SUPP096,COMP0265,Component discontinuation announcement,4.64,215 days,188 days,Failure
SUPP005,COMP0207,Wafer fab yield drop below threshold,11.49,183 days,7 days,Failure
SUPP041,COMP0362,Delivery delay due to port congestion,3.26,252 days,142 days,Failure
SUPP045,COMP0353,Natural disaster impact on fab,7.99,290 days,130 days,Success
SUPP063,COMP0416,Counterfeit component detection,0.21,273 days,16 days,Failure
SUPP043,COMP0226,Component discontinuation announcement,2.63,154 days,137 days,Failure
SUPP004,COMP0387,Wafer fab yield drop below threshold,11.21,216 days,74 days,Success
SUPP043,COMP0460,Component discontinuation announcement,7.06,316 days,44 days,Success
SUPP021,COMP0450,Export control regulation change,11.49,39 days,29 days,Success
SUPP023,COMP0057,Geopolitical trade restriction imposed,6.64,183 days,34 days,Failure
SUPP078,COMP0182,Natural disaster impact on fab,2.4,38 days,16 days,Success
SUPP023,COMP0033,Supply shortage due to factory fire,8.19,327 days,137 days,Failure
SUPP050,COMP0403,Quality defect — batch recall issued,11.58,344 days,184 days,Success
SUPP003,COMP0475,Component discontinuation announcement,6.98,117 days,115 days,Failure
SUPP047,COMP0258,Quality defect — batch recall issued,2.16,132 days,80 days,Success
SUPP081,COMP0052,Pandemic-related facility shutdown,10.74,305 days,15 days,Success
SUPP068,COMP0269,Counterfeit component detection,8.41,20 days,12 days,Success
SUPP047,COMP0344,Component discontinuation announcement,6.54,211 days,82 days,Success
SUPP016,COMP0422,Supply shortage due to factory fire,0.99,270 days,76 days,Failure
SUPP018,COMP0389,Delivery delay due to port congestion,9.26,76 days,67 days,Success
SUPP075,COMP0350,Component discontinuation announcement,5.64,213 days,155 days,Failure
SUPP017,COMP0029,Natural disaster impact on fab,6.42,28 days,20 days,Failure
SUPP087,COMP0184,Pandemic-related facility shutdown,8.13,356 days,147 days,Success
SUPP025,COMP0170,Sudden capacity reduction by supplier,0.77,20 days,13 days,Failure
SUPP067,COMP0300,Supplier financial instability,8.99,233 days,135 days,Success
SUPP065,COMP0074,Component discontinuation announcement,10.71,142 days,55 days,Success
SUPP061,COMP0445,Supplier financial instability,0.79,130 days,114 days,Success
SUPP040,COMP0368,Natural disaster impact on fab,6.53,34 days,22 days,Success
SUPP049,COMP0462,Logistics disruption — carrier strike,5.66,359 days,27 days,Success
SUPP098,COMP0024,Geopolitical trade restriction imposed,8.96,260 days,52 days,Failure
SUPP050,COMP0170,Component discontinuation announcement,8.29,14 days,7 days,Failure
SUPP044,COMP0479,Counterfeit component detection,10.34,107 days,1 days,Success
SUPP021,COMP0311,Delivery delay due to port congestion,6.2,159 days,148 days,Success
SUPP042,COMP0086,Geopolitical trade restriction imposed,9.98,37 days,3 days,Success
SUPP034,COMP0028,Logistics disruption — carrier strike,0.72,199 days,24 days,Failure
SUPP090,COMP0075,Raw material scarcity — price surge,10.59,200 days,60 days,Success
SUPP042,COMP0418,Supply shortage due to factory fire,2.87,354 days,50 days,Success
SUPP071,COMP0194,Component discontinuation announcement,8.36,19 days,1 days,Failure
SUPP094,COMP0050,Delivery delay due to port congestion,2.54,37 days,35 days,Success
SUPP061,COMP0429,Geopolitical trade restriction imposed,4.17,84 days,82 days,Success
SUPP045,COMP0396,Supplier financial instability,0.05,322 days,279 days,Failure
SUPP028,COMP0285,Pandemic-related facility shutdown,11.68,347 days,11 days,Failure
SUPP063,COMP0003,Pandemic-related facility shutdown,7.48,258 days,20 days,Failure
SUPP071,COMP0037,Sudden capacity reduction by supplier,11.49,239 days,132 days,Success
SUPP020,COMP0341,Sudden capacity reduction by supplier,0.66,118 days,72 days,Success
SUPP072,COMP0019,Counterfeit component detection,8.36,294 days,161 days,Failure
SUPP056,COMP0256,Wafer fab yield drop below threshold,9.02,174 days,22 days,Success
SUPP043,COMP0251,Quality defect — batch recall issued,8.22,242 days,88 days,Failure
SUPP077,COMP0365,Delivery delay due to port congestion,0.01,344 days,98 days,Success
SUPP096,COMP0356,Raw material scarcity — price surge,11.91,275 days,176 days,Failure
SUPP031,COMP0062,Geopolitical trade restriction imposed,1.84,69 days,20 days,Success
SUPP013,COMP0143,Component discontinuation announcement,6.15,219 days,207 days,Success
SUPP001,COMP0153,Geopolitical trade restriction imposed,7.47,269 days,254 days,Success
SUPP025,COMP0262,Logistics disruption — carrier strike,7.49,10 days,5 days,Success
SUPP072,COMP0402,Supply shortage due to factory fire,4.07,161 days,126 days,Success
SUPP083,COMP0203,Export control regulation change,2.1,62 days,43 days,Success
SUPP093,COMP0272,Component discontinuation announcement,8.1,12 days,2 days,Success
SUPP087,COMP0482,Export control regulation change,4.56,89 days,40 days,Success
SUPP054,COMP0476,Supplier financial instability,5.76,83 days,66 days,Success
SUPP036,COMP0107,Supplier financial instability,2.7,200 days,190 days,Success
SUPP050,COMP0054,Geopolitical trade restriction imposed,9.59,164 days,35 days,Failure
SUPP022,COMP0432,Quality defect — batch recall issued,1.05,345 days,21 days,Success
SUPP034,COMP0036,Supplier financial instability,6.61,51 days,4 days,Success
SUPP004,COMP0483,Geopolitical trade restriction imposed,6.56,204 days,31 days,Success
SUPP006,COMP0307,Pandemic-related facility shutdown,4.13,67 days,55 days,Success
SUPP060,COMP0465,Component discontinuation announcement,3.42,349 days,309 days,Success
SUPP010,COMP0398,Counterfeit component detection,0.66,18 days,10 days,Success
SUPP042,COMP0456,Natural disaster impact on fab,3.61,238 days,7 days,Success
SUPP071,COMP0380,Sudden capacity reduction by supplier,10.07,100 days,1 days,Success
SUPP005,COMP0137,Sudden capacity reduction by supplier,10.62,205 days,94 days,Failure
SUPP098,COMP0458,Delivery delay due to port congestion,11.23,229 days,166 days,Success
SUPP045,COMP0486,Sudden capacity reduction by supplier,3.01,321 days,93 days,Success
SUPP010,COMP0245,Sudden capacity reduction by supplier,4.79,338 days,52 days,Success
SUPP045,COMP0258,Quality defect — batch recall issued,7.39,51 days,48 days,Success
SUPP092,COMP0083,Supplier financial instability,11.38,240 days,114 days,Failure
SUPP052,COMP0483,Counterfeit component detection,5.12,105 days,68 days,Success
SUPP088,COMP0394,Delivery delay due to port congestion,9.34,364 days,336 days,Failure
SUPP024,COMP0116,Supplier financial instability,11.37,315 days,298 days,Success
SUPP065,COMP0277,Wafer fab yield drop below threshold,6.59,224 days,201 days,Success
SUPP001,COMP0357,Delivery delay due to port congestion,11.52,247 days,228 days,Success
SUPP023,COMP0475,Supply shortage due to factory fire,11.03,278 days,85 days,Success
SUPP075,COMP0087,Supplier financial instability,5.17,252 days,203 days,Failure
SUPP035,COMP0390,Supply shortage due to factory fire,2.76,355 days,98 days,Success
SUPP006,COMP0309,Raw material scarcity — price surge,2.71,213 days,28 days,Failure
SUPP028,COMP0070,Natural disaster impact on fab,2.76,66 days,19 days,Success
SUPP038,COMP0425,Pandemic-related facility shutdown,1.83,213 days,150 days,Failure
SUPP074,COMP0394,Wafer fab yield drop below threshold,2.8,361 days,141 days,Success
SUPP069,COMP0454,Geopolitical trade restriction imposed,9.75,352 days,197 days,Success
SUPP042,COMP0166,Wafer fab yield drop below threshold,2.37,260 days,179 days,Failure
SUPP039,COMP0193,Logistics disruption — carrier strike,9.76,179 days,115 days,Success
SUPP079,COMP0022,Supplier financial instability,5.97,127 days,84 days,Success
SUPP040,COMP0104,Quality defect — batch recall issued,4.7,12 days,12 days,Failure
SUPP030,COMP0079,Pandemic-related facility shutdown,9.57,117 days,88 days,Success
SUPP019,COMP0113,Raw material scarcity — price surge,10.83,270 days,133 days,Success
SUPP077,COMP0234,Geopolitical trade restriction imposed,4.86,293 days,105 days,Success
SUPP018,COMP0199,Supplier financial instability,3.34,126 days,121 days,Success
SUPP089,COMP0206,Natural disaster impact on fab,1.56,36 days,24 days,Success
SUPP022,COMP0117,Wafer fab yield drop below threshold,10.22,228 days,220 days,Success
SUPP091,COMP0498,Component discontinuation announcement,7.1,81 days,53 days,Success
SUPP053,COMP0487,Pandemic-related facility shutdown,0.6,61 days,55 days,Failure
SUPP069,COMP0062,Geopolitical trade restriction imposed,2.89,9 days,4 days,Failure
SUPP054,COMP0301,Pandemic-related facility shutdown,11.83,262 days,26 days,Failure
