Supplier ID,Supplier Name,Location,Component ID,Cost per Component ($),Available Quantity,Lead Time (Weeks),Reliability Score (0-1),Past Performance Rating (1-5),Alternate Supplier ID
SUPP068,Mini-Circuits,"Munich, Germany",COMP0480,269.43,329134,44,0.7,1.9,SUPP083
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0305,368.76,207422,44,0.77,2.5,SUPP018
SUPP061,Rohde & Schwarz Components,"Bangalore, India",COMP0315,77.1,243192,14,0.79,4.7,SUPP053
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0164,25.05,269836,17,0.79,2.5,SUPP007
SUPP008,Texas Instruments,Singapore,COMP0140,201.76,188508,13,0.7,4.1,SUPP026
SUPP070,Susumu,"Munich, Germany",COMP0233,500.84,258257,18,0.82,3.2,SUPP015
SUPP054,Dinkle,"Shanghai, China",COMP0234,442.03,431860,23,0.96,2.4,SUPP028
SUPP091,Ohmite,"Osaka, Japan",COMP0480,5.89,399536,35,0.8,2.0,SUPP004
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0469,21.64,232845,12,0.76,2.3,SUPP025
SUPP016,Molex,"Shanghai, China",COMP0495,450.94,124779,29,0.61,2.3,SUPP043
SUPP049,TE Connectivity Sensors,"Osaka, Japan",COMP0343,437.74,229312,18,0.97,1.8,SUPP081
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0335,265.45,415986,42,0.65,3.1,SUPP006
SUPP002,TDK Corporation,"Gyeonggi, South Korea",COMP0141,622.99,119822,32,0.53,4.5,SUPP100
SUPP073,Stackpole Electronics,Singapore,COMP0193,414.18,355109,36,0.55,2.5,SUPP014
SUPP070,Susumu,"Munich, Germany",COMP0401,655.2,59443,24,0.62,4.3,SUPP063
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0068,360.22,408755,28,0.58,4.5,SUPP019
SUPP022,Bourns,Singapore,COMP0253,395.23,30751,37,0.86,2.9,SUPP029
SUPP013,ON Semiconductor,"Gyeonggi, South Korea",COMP0264,742.18,51924,22,0.66,1.6,SUPP077
SUPP057,Harting,"Tokyo, Japan",COMP0030,175.46,85067,48,0.67,4.6,SUPP014
SUPP017,TE Connectivity,"Austin, USA",COMP0401,60.16,438464,37,0.92,1.6,SUPP058
SUPP095,GaN Systems,"San Jose, USA",COMP0329,131.32,373121,50,0.87,4.1,SUPP093
SUPP091,Ohmite,"Osaka, Japan",COMP0048,140.44,13052,26,0.92,1.3,SUPP066
SUPP091,Ohmite,"Osaka, Japan",COMP0030,20.42,467333,52,0.58,3.4,SUPP090
SUPP060,Tektronix Supply,"Zurich, Switzerland",COMP0400,417.44,408309,8,0.95,2.7,SUPP007
SUPP026,Lattice Semiconductor,Singapore,COMP0270,100.36,487469,27,0.96,5.0,SUPP093
SUPP007,Panasonic Electronic Components,"Milan, Italy",COMP0224,359.92,286800,41,0.84,3.5,SUPP025
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0040,711.0,154134,22,0.57,1.4,SUPP071
SUPP076,Sprague Goodman,"Shanghai, China",COMP0423,85.35,242563,16,0.78,4.9,SUPP007
SUPP031,Rubycon,"Zurich, Switzerland",COMP0118,303.05,113265,32,0.72,2.7,SUPP020
SUPP029,KEMET Electronics,"Penang, Malaysia",COMP0121,26.33,312695,50,0.63,4.3,SUPP002
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0138,201.19,323579,17,0.93,2.1,SUPP026
SUPP095,GaN Systems,"San Jose, USA",COMP0053,96.26,165049,20,0.91,3.3,SUPP029
SUPP054,Dinkle,"Shanghai, China",COMP0292,301.96,40939,26,0.74,2.1,SUPP099
SUPP073,Stackpole Electronics,Singapore,COMP0328,107.49,234709,6,0.74,1.4,SUPP032
SUPP069,Anaren Microwave,"Osaka, Japan",COMP0500,574.16,128792,20,0.69,2.3,SUPP041
SUPP021,Omron Electronics,"Seoul, South Korea",COMP0144,505.23,445212,45,0.83,2.4,SUPP072
SUPP054,Dinkle,"Shanghai, China",COMP0380,146.76,407333,20,0.62,4.6,SUPP086
SUPP075,Illinois Capacitor,"London, UK",COMP0282,364.87,164564,26,0.89,2.7,SUPP056
SUPP082,Silicon Labs,"Hsinchu, Taiwan",COMP0095,151.45,100999,48,0.66,4.7,SUPP043
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0299,352.05,484460,42,0.55,4.9,SUPP067
SUPP024,Toshiba Electronic Devices,"Bangalore, India",COMP0388,73.56,313010,38,0.74,2.1,SUPP085
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0433,464.3,297967,25,0.51,3.1,SUPP072
SUPP054,Dinkle,"Shanghai, China",COMP0367,630.55,449420,17,0.51,1.1,SUPP048
SUPP064,Microsemi,"Taipei, Taiwan",COMP0169,7.62,155635,10,0.93,3.6,SUPP086
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0249,677.3,448090,19,0.82,4.0,SUPP081
SUPP044,Lumileds,"Austin, USA",COMP0083,541.26,231837,19,0.91,4.3,SUPP061
SUPP037,Abracon,"Chennai, India",COMP0014,22.63,86123,19,0.54,1.7,SUPP059
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0358,345.11,393295,4,0.58,2.1,SUPP014
SUPP016,Molex,"Shanghai, China",COMP0419,238.58,411985,43,0.98,2.6,SUPP019
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0141,19.5,183751,6,0.51,4.1,SUPP037
SUPP059,Keysight Components,"Milan, Italy",COMP0036,272.67,246159,15,0.58,4.2,SUPP095
SUPP074,Cornell Dubilier,"Bangalore, India",COMP0259,490.86,472305,9,0.77,4.5,SUPP040
SUPP027,Diodes Incorporated,"Shenzhen, China",COMP0306,197.21,223669,41,0.53,4.2,SUPP071
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0380,634.64,481108,11,0.93,1.3,SUPP037
SUPP030,Nichicon,"Zurich, Switzerland",COMP0308,230.84,472535,48,0.69,3.0,SUPP048
SUPP072,KOA Speer,"Hsinchu, Taiwan",COMP0302,359.68,488859,11,0.66,3.9,SUPP026
SUPP008,Texas Instruments,Singapore,COMP0260,253.42,107726,22,0.88,3.3,SUPP010
SUPP039,ISSI,"Stockholm, Sweden",COMP0055,24.57,235617,37,0.91,1.5,SUPP006
SUPP095,GaN Systems,"San Jose, USA",COMP0070,268.3,310564,30,0.63,1.5,SUPP038
SUPP037,Abracon,"Chennai, India",COMP0280,240.53,12060,41,0.7,2.3,SUPP005
SUPP004,Yageo Corporation,"Munich, Germany",COMP0081,83.79,452326,35,0.9,4.6,SUPP020
SUPP091,Ohmite,"Osaka, Japan",COMP0132,429.7,3507,29,0.97,2.6,SUPP023
SUPP031,Rubycon,"Zurich, Switzerland",COMP0163,412.12,406075,31,0.63,3.5,SUPP025
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0059,237.36,175321,7,0.64,4.3,SUPP021
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0439,499.34,109301,23,0.93,3.2,SUPP093
SUPP098,Vicor Corporation,"Tokyo, Japan",COMP0318,289.46,183857,21,0.74,4.4,SUPP078
SUPP015,Analog Devices,"Munich, Germany",COMP0420,297.03,37335,31,0.75,2.7,SUPP022
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0073,636.73,309096,25,0.76,2.9,SUPP011
SUPP056,Samtec,"Hsinchu, Taiwan",COMP0254,47.65,156607,51,0.86,3.2,SUPP024
SUPP047,Sensata Technologies,"Shanghai, China",COMP0292,533.65,408863,42,0.59,1.7,SUPP059
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0475,672.07,97328,18,0.88,1.7,SUPP004
SUPP054,Dinkle,"Shanghai, China",COMP0308,460.71,43766,52,0.52,3.4,SUPP037
SUPP043,Cree LED,"Bangalore, India",COMP0308,340.31,386884,32,0.75,4.7,SUPP019
SUPP019,Hirose Electric,"Milan, Italy",COMP0167,477.79,206205,22,0.69,4.0,SUPP069
SUPP053,WAGO,"Shanghai, China",COMP0334,743.79,300776,19,0.84,1.8,SUPP051
SUPP013,ON Semiconductor,"Gyeonggi, South Korea",COMP0446,12.64,498657,7,0.59,2.8,SUPP022
SUPP029,KEMET Electronics,"Penang, Malaysia",COMP0248,405.17,366399,2,0.6,4.2,SUPP055
SUPP042,Alliance Memory,"Gyeonggi, South Korea",COMP0455,351.81,109747,29,0.56,3.5,SUPP002
SUPP088,Marvell Technology,"Penang, Malaysia",COMP0171,115.02,142472,29,0.7,2.0,SUPP029
SUPP011,Infineon Technologies,"Hsinchu, Taiwan",COMP0124,5.0,203347,42,0.5,2.4,SUPP002
SUPP041,Macronix International,"Shanghai, China",COMP0134,336.49,299772,26,0.55,2.4,SUPP022
SUPP033,Bel Fuse,"Munich, Germany",COMP0311,351.79,80762,40,0.99,3.0,SUPP008
SUPP008,Texas Instruments,Singapore,COMP0295,632.85,11806,24,0.57,4.2,SUPP024
SUPP066,Qorvo,"Gyeonggi, South Korea",COMP0247,289.33,103116,8,0.65,2.2,SUPP017
SUPP094,Transphorm,"Gyeonggi, South Korea",COMP0205,270.97,40878,19,0.58,1.0,SUPP003
SUPP060,Tektronix Supply,"Zurich, Switzerland",COMP0124,461.37,258663,27,0.9,2.1,SUPP062
SUPP064,Microsemi,"Taipei, Taiwan",COMP0472,284.26,27903,41,0.81,1.2,SUPP092
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0384,353.8,58438,9,0.83,2.6,SUPP037
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0010,636.04,87631,7,0.85,3.5,SUPP013
SUPP026,Lattice Semiconductor,Singapore,COMP0180,440.47,58862,35,0.82,2.0,SUPP040
SUPP051,Phoenix Contact,"Bangalore, India",COMP0143,666.9,221492,14,0.53,2.2,SUPP028
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0007,659.82,248320,40,0.95,4.5,SUPP038
SUPP095,GaN Systems,"San Jose, USA",COMP0027,199.09,156933,25,0.66,1.0,SUPP050
SUPP092,Bel Magnetic Solutions,"Taipei, Taiwan",COMP0420,89.59,268096,35,0.83,3.2,SUPP046
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0240,715.64,256358,11,0.61,4.5,SUPP049
SUPP013,ON Semiconductor,"Gyeonggi, South Korea",COMP0420,198.4,320096,36,0.91,3.5,SUPP010
SUPP060,Tektronix Supply,"Zurich, Switzerland",COMP0271,538.57,233780,41,0.75,2.4,SUPP007
SUPP015,Analog Devices,"Munich, Germany",COMP0371,626.83,40760,48,0.98,4.8,SUPP002
SUPP019,Hirose Electric,"Milan, Italy",COMP0303,316.77,77058,48,0.82,2.5,SUPP048
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0464,408.33,305522,29,0.6,2.9,SUPP053
SUPP079,Sumida,"Stockholm, Sweden",COMP0290,73.81,125292,35,0.59,3.1,SUPP100
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0483,531.53,317157,3,0.82,2.1,SUPP025
SUPP057,Harting,"Tokyo, Japan",COMP0157,57.87,116507,38,0.93,1.1,SUPP071
SUPP064,Microsemi,"Taipei, Taiwan",COMP0411,624.89,198751,10,0.88,4.6,SUPP073
SUPP095,GaN Systems,"San Jose, USA",COMP0404,383.08,441076,44,0.69,4.8,SUPP081
SUPP068,Mini-Circuits,"Munich, Germany",COMP0275,400.59,296520,45,0.76,3.2,SUPP046
SUPP039,ISSI,"Stockholm, Sweden",COMP0499,306.75,226852,40,0.87,1.9,SUPP032
SUPP012,Microchip Technology,"Eindhoven, Netherlands",COMP0313,568.46,258923,20,0.85,2.0,SUPP052
SUPP049,TE Connectivity Sensors,"Osaka, Japan",COMP0263,211.73,144929,11,0.87,1.2,SUPP044
SUPP089,Onsemi,"Eindhoven, Netherlands",COMP0271,395.54,430317,24,0.64,1.3,SUPP063
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0017,536.57,429950,23,0.98,4.1,SUPP037
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0139,447.76,450219,8,0.5,1.2,SUPP021
SUPP022,Bourns,Singapore,COMP0307,269.64,134589,34,0.88,4.4,SUPP066
SUPP076,Sprague Goodman,"Shanghai, China",COMP0155,231.42,215607,6,0.97,1.2,SUPP025
SUPP008,Texas Instruments,Singapore,COMP0125,364.54,479350,50,0.51,4.0,SUPP028
SUPP017,TE Connectivity,"Austin, USA",COMP0385,669.7,226988,6,0.68,4.4,SUPP026
SUPP074,Cornell Dubilier,"Bangalore, India",COMP0082,283.83,195413,17,0.88,1.9,SUPP093
SUPP060,Tektronix Supply,"Zurich, Switzerland",COMP0470,141.61,175099,45,0.75,4.7,SUPP080
SUPP019,Hirose Electric,"Milan, Italy",COMP0073,567.84,44588,25,0.67,3.1,SUPP057
SUPP100,Entegris,"Tokyo, Japan",COMP0107,72.75,19489,1,0.75,2.6,SUPP031
SUPP030,Nichicon,"Zurich, Switzerland",COMP0341,179.19,435949,7,0.97,4.4,SUPP013
SUPP069,Anaren Microwave,"Osaka, Japan",COMP0247,277.42,332404,30,0.8,1.8,SUPP021
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0060,697.12,269588,6,0.71,4.0,SUPP018
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0325,250.74,464250,18,0.71,2.4,SUPP081
SUPP067,MACOM Technology,"Shenzhen, China",COMP0308,613.91,446911,9,0.81,1.2,SUPP099
SUPP022,Bourns,Singapore,COMP0203,438.88,406355,16,0.77,4.9,SUPP019
SUPP091,Ohmite,"Osaka, Japan",COMP0311,679.21,292939,48,0.88,4.9,SUPP071
SUPP054,Dinkle,"Shanghai, China",COMP0193,427.08,195875,27,0.95,3.1,SUPP060
SUPP043,Cree LED,"Bangalore, India",COMP0007,613.36,112049,6,0.64,4.3,SUPP033
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0428,490.45,230495,50,0.8,3.5,SUPP045
SUPP097,Power Integrations,"Shenzhen, China",COMP0100,326.6,362169,49,0.74,1.6,SUPP047
SUPP097,Power Integrations,"Shenzhen, China",COMP0488,676.76,18697,38,0.74,5.0,SUPP090
SUPP080,Bourns Inductors,"Shanghai, China",COMP0273,392.63,456105,4,0.62,2.9,SUPP048
SUPP004,Yageo Corporation,"Munich, Germany",COMP0443,526.11,100763,42,0.57,2.9,SUPP096
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0291,418.56,394420,50,0.64,2.3,SUPP071
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0430,634.56,113248,16,0.63,3.9,SUPP052
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0085,265.97,65387,47,0.97,4.6,SUPP084
SUPP097,Power Integrations,"Shenzhen, China",COMP0401,414.35,45396,4,0.68,1.7,SUPP078
SUPP012,Microchip Technology,"Eindhoven, Netherlands",COMP0365,575.39,436416,51,0.96,1.7,SUPP067
SUPP053,WAGO,"Shanghai, China",COMP0064,492.35,426772,33,0.71,3.8,SUPP011
SUPP073,Stackpole Electronics,Singapore,COMP0069,663.05,111858,35,0.79,3.1,SUPP035
SUPP066,Qorvo,"Gyeonggi, South Korea",COMP0367,503.69,427248,11,0.68,1.4,SUPP048
SUPP048,Honeywell Sensing,"Eindhoven, Netherlands",COMP0212,618.97,91948,11,0.88,3.4,SUPP099
SUPP020,JST,"Munich, Germany",COMP0226,123.2,34406,25,0.87,2.9,SUPP086
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0436,2.69,174387,33,0.92,4.2,SUPP035
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0209,13.95,387915,12,0.79,4.6,SUPP003
SUPP086,MediaTek,"Seoul, South Korea",COMP0423,125.79,113741,5,0.63,2.2,SUPP070
SUPP024,Toshiba Electronic Devices,"Bangalore, India",COMP0009,29.92,147513,18,0.53,1.7,SUPP057
SUPP086,MediaTek,"Seoul, South Korea",COMP0467,210.76,2246,47,0.76,3.7,SUPP055
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0034,541.39,249182,52,0.97,1.9,SUPP029
SUPP017,TE Connectivity,"Austin, USA",COMP0411,255.43,100447,29,0.89,2.3,SUPP053
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0029,257.15,409147,46,0.75,1.8,SUPP055
SUPP030,Nichicon,"Zurich, Switzerland",COMP0084,34.12,173747,41,0.66,3.5,SUPP062
SUPP053,WAGO,"Shanghai, China",COMP0019,238.86,363546,41,0.79,2.8,SUPP024
SUPP043,Cree LED,"Bangalore, India",COMP0151,178.13,83773,3,0.68,2.1,SUPP047
SUPP053,WAGO,"Shanghai, China",COMP0452,352.31,369759,1,0.82,3.2,SUPP022
SUPP016,Molex,"Shanghai, China",COMP0044,302.28,87057,43,0.55,1.5,SUPP014
SUPP045,Osram Opto,"Eindhoven, Netherlands",COMP0468,572.6,171104,47,0.53,3.1,SUPP026
SUPP022,Bourns,Singapore,COMP0389,229.77,271587,50,0.58,1.3,SUPP019
SUPP085,Espressif Systems,"London, UK",COMP0169,29.89,37162,34,0.79,1.9,SUPP095
SUPP082,Silicon Labs,"Hsinchu, Taiwan",COMP0053,361.52,229864,5,0.55,1.7,SUPP072
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0165,598.43,285705,24,0.97,4.7,SUPP048
SUPP052,Weidmuller,"Hsinchu, Taiwan",COMP0122,656.09,316067,25,0.69,1.3,SUPP019
SUPP027,Diodes Incorporated,"Shenzhen, China",COMP0329,137.86,25398,24,0.7,1.3,SUPP035
SUPP030,Nichicon,"Zurich, Switzerland",COMP0115,82.69,412124,19,0.6,2.1,SUPP015
SUPP019,Hirose Electric,"Milan, Italy",COMP0445,384.18,496769,1,0.5,1.8,SUPP094
SUPP076,Sprague Goodman,"Shanghai, China",COMP0270,530.61,314645,10,0.71,3.3,SUPP019
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0101,320.84,51716,16,0.58,4.4,SUPP056
SUPP058,ITT Cannon,"Munich, Germany",COMP0007,378.61,251776,13,0.69,1.4,SUPP075
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0418,8.87,16784,27,0.91,1.8,SUPP064
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0272,6.68,333793,17,0.55,4.5,SUPP100
SUPP045,Osram Opto,"Eindhoven, Netherlands",COMP0459,149.91,233916,35,0.65,2.6,SUPP055
